level,branch,place,position,no,name,full_name,state,political_party,political_leaning,president,president_political_party,start_date,end_date,birth_state,birth_date,impeached
federal,legislative,House of Representatives,Speaker of the House,1,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,2,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,3,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,4,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,5,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,6,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,7,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,8,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,9,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,10,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,11,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,12,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,13,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,14,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,15,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,16,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,17,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,18,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,19,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,20,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,21,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,22,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,23,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,24,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,25,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,26,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,27,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,28,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,29,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,30,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,31,,,,,,,,,,,,
federal,legislative,House of Representatives,Speaker of the House,32,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,1,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,2,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,3,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,4,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,5,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,6,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,7,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,8,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,9,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,10,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,11,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,12,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,13,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,14,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,15,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,16,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,17,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,18,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,19,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,20,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,21,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,22,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,23,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,24,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,25,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,26,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,27,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,28,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,29,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,30,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,31,,,,,,,,,,,,
federal,legislative,Senate,President pro Tempore,32,,,,,,,,,,,,
federal,legislative,Senate,"Senator, Class 2",1,Bob Bartlett,,Alaska,,,,,,,,,
federal,legislative,Senate,"Senator, Class 2",2,Ted Stevens,,Alaska,,,,,,,,,
federal,legislative,Senate,"Senator, Class 2",3,Mark Begich,,Alaska,,,,,,,,,
