symbol,name,security
ACOR,"Acorda Therapeutics, Inc.","Acorda Therapeutics, Inc. - Common Stock"
ACRS,"Aclaris Therapeutics, Inc.","Aclaris Therapeutics, Inc. - Common Stock"
ACRX,"AcelRx Pharmaceuticals, Inc.","AcelRx Pharmaceuticals, Inc. - Common Stock"
ACSF,"American Capital Senior Floating, Ltd.","American Capital Senior Floating, Ltd. - Common Stock"
ACST,"Acasti Pharma, Inc.","Acasti Pharma, Inc. - Class A Common Stock"
ACT,AdvisorShares Vice ETF,AdvisorShares Vice ETF
ACTG,Acacia Research Corporation,Acacia Research Corporation - Common Stock
ACWI,iShares MSCI ACWI Index Fund,iShares MSCI ACWI Index Fund
ACWX,iShares MSCI ACWI ex US Index Fund,iShares MSCI ACWI ex US Index Fund
ACXM,Acxiom Corporation,Acxiom Corporation - Common Stock
ADAP,Adaptimmune Therapeutics plc,Adaptimmune Therapeutics plc - American Depositary Shares
ADBE,Adobe Systems Incorporated,Adobe Systems Incorporated - Common Stock
ADES,"Advanced Emissions Solutions, Inc.","Advanced Emissions Solutions, Inc. - Common Stock"
ADI,"Analog Devices, Inc.","Analog Devices, Inc. - Common Stock"
ADIL,"Adial Pharmaceuticals, Inc","Adial Pharmaceuticals, Inc - Common Stock"
ADILW,"Adial Pharmaceuticals, Inc","Adial Pharmaceuticals, Inc - Warrant"
ADMA,ADMA Biologics Inc,ADMA Biologics Inc - Common Stock
ADMP,Adamis Pharmaceuticals Corporation,Adamis Pharmaceuticals Corporation - Common Stock
ADMS,"Adamas Pharmaceuticals, Inc.","Adamas Pharmaceuticals, Inc. - Common Stock"
ADOM,"ADOMANI, Inc.","ADOMANI, Inc. - Common Stock"
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. - Common Stock"
ADRA,Invesco BLDRS Asia 50 ADR Index Fund,Invesco BLDRS Asia 50 ADR Index Fund
ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,Invesco BLDRS Developed Markets 100 ADR Index Fund
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Invesco BLDRS Emerging Markets 50 ADR Index Fund
ADRO,"Aduro Biotech, Inc.","Aduro Biotech, Inc. - Common Stock"
ADRU,Invesco BLDRS Europe Select ADR Index Fund,Invesco BLDRS Europe Select ADR Index Fund
ADSK,"Autodesk, Inc.","Autodesk, Inc. - Common Stock"
ADTN,"ADTRAN, Inc.","ADTRAN, Inc. - Common Stock"
ADUS,Addus HomeCare Corporation,Addus HomeCare Corporation - Common Stock
ADVM,"Adverum Biotechnologies, Inc.","Adverum Biotechnologies, Inc. - Common Stock"
ADXS,"Advaxis, Inc.","Advaxis, Inc. - Common Stock"
ADXSW,"Advaxis, Inc.","Advaxis, Inc. - Warrants"
AEGN,Aegion Corp,Aegion Corp - Class A Common Stock
AEHR,Aehr Test Systems,Aehr Test Systems - Common Stock
AEIS,"Advanced Energy Industries, Inc.","Advanced Energy Industries, Inc. - Common Stock"
AEMD,"Aethlon Medical, Inc.","Aethlon Medical, Inc. - Common Stock"
AERI,"Aerie Pharmaceuticals, Inc.","Aerie Pharmaceuticals, Inc. - Common Stock"
AETI,"American Electric Technologies, Inc.","American Electric Technologies, Inc. - Common Stock"
AEY,"ADDvantage Technologies Group, Inc.","ADDvantage Technologies Group, Inc. - Common Stock"
AEZS,Aeterna Zentaris Inc.,Aeterna Zentaris Inc. - Common Stock
AFH,"Atlas Financial Holdings, Inc.","Atlas Financial Holdings, Inc. - Ordinary Shares"
AFHBL,"Atlas Financial Holdings, Inc.","Atlas Financial Holdings, Inc. - 6.625% Senior Unsecured Notes Due 2022"
AFIN,"American Finance Trust, Inc.","American Finance Trust, Inc. - Class A Common Stock"
AFMD,Affimed N.V.,Affimed N.V. - Common Stock
AFSI,"AmTrust Financial Services, Inc.","AmTrust Financial Services, Inc. - Common Stock"
AGEN,Agenus Inc.,Agenus Inc. - Common Stock
AGFS,"AgroFresh Solutions, Inc.","AgroFresh Solutions, Inc. - Common Stock"
AGFSW,"AgroFresh Solutions, Inc.","AgroFresh Solutions, Inc. - Warrants"
AGIO,"Agios Pharmaceuticals, Inc.","Agios Pharmaceuticals, Inc. - Common Stock"
AGLE,"Aeglea BioTherapeutics, Inc.","Aeglea BioTherapeutics, Inc. - Common Stock"
AGMH,AGM Group Holdings Inc.,AGM Group Holdings Inc. - Class A Ordinary Shares
AGNC,AGNC Investment Corp.,AGNC Investment Corp. - Common Stock
AGNCB,AGNC Investment Corp.,AGNC Investment Corp. - Depositary Shares representing 1/1000th Series B Preferred Stock
AGNCN,AGNC Investment Corp.,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock"
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund
AGRX,"Agile Therapeutics, Inc.","Agile Therapeutics, Inc. - Common Stock"
AGTC,Applied Genetic Technologies Corporation,Applied Genetic Technologies Corporation - Common Stock
AGYS,"Agilysys, Inc.","Agilysys, Inc. - Common Stock"
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
AHPA,Avista Healthcare Public Acquisition Corp.,Avista Healthcare Public Acquisition Corp. - Class A Ordinary Shares
AHPAU,Avista Healthcare Public Acquisition Corp.,Avista Healthcare Public Acquisition Corp. - Unit
AHPAW,Avista Healthcare Public Acquisition Corp.,Avista Healthcare Public Acquisition Corp. - Warrants
AHPI,"Allied Healthcare Products, Inc.","Allied Healthcare Products, Inc. - Common Stock"
AIA,iShares Asia 50 ETF,iShares Asia 50 ETF
AIHS,Senmiao Technology Limited,Senmiao Technology Limited - Common Stock
AIMC,Altra Industrial Motion Corp.,Altra Industrial Motion Corp. - Common Stock
AIMT,"Aimmune Therapeutics, Inc.","Aimmune Therapeutics, Inc. - Common Stock"
AINV,Apollo Investment Corporation,Apollo Investment Corporation - Closed End Fund
AIPT,Precision Therapeutics Inc.,Precision Therapeutics Inc. - Common Stock
AIQ,Global X Future Analytics Tech ETF,Global X Future Analytics Tech ETF
AIRG,"Airgain, Inc.","Airgain, Inc. - Common Stock"
AIRR,First Trust RBA American Industrial Renaissance ETF,First Trust RBA American Industrial Renaissance ETF
AIRT,"Air T, Inc.","Air T, Inc. - Common Stock"
AKAM,"Akamai Technologies, Inc.","Akamai Technologies, Inc. - Common Stock"
AKAO,"Achaogen, Inc.","Achaogen, Inc. - Common Stock"
AKBA,"Akebia Therapeutics, Inc.","Akebia Therapeutics, Inc. - Common Stock"
AKCA,"Akcea Therapeutics, Inc.","Akcea Therapeutics, Inc. - Common Stock"
AKER,Akers Biosciences Inc,Akers Biosciences Inc - Common Stock
AKRX,"Akorn, Inc.","Akorn, Inc. - Common Stock"
AKTS,"Akoustis Technologies, Inc.","Akoustis Technologies, Inc. - Common Stock"
AKTX,Akari Therapeutics Plc,Akari Therapeutics Plc - American Depositary Shares
ALBO,"Albireo Pharma, Inc.","Albireo Pharma, Inc. - Common Stock"
ALCO,"Alico, Inc.","Alico, Inc. - Common Stock"
ALDR,"Alder BioPharmaceuticals, Inc.","Alder BioPharmaceuticals, Inc. - Common Stock"
ALDX,"Aldeyra Therapeutics, Inc.","Aldeyra Therapeutics, Inc. - Common Stock"
ALGN,"Align Technology, Inc.","Align Technology, Inc. - Common Stock"
ALGR,Allegro Merger Corp.,Allegro Merger Corp. - Common Stock
ALGRR,Allegro Merger Corp.,Allegro Merger Corp. - Right
ALGRU,Allegro Merger Corp.,Allegro Merger Corp. - Unit
ALGRW,Allegro Merger Corp.,Allegro Merger Corp. - Warrant
ALGT,Allegiant Travel Company,Allegiant Travel Company - Common Stock
ALIM,"Alimera Sciences, Inc.","Alimera Sciences, Inc. - Common Stock"
ALJJ,"ALJ Regional Holdings, Inc.","ALJ Regional Holdings, Inc. - Common Stock"
ALKS,Alkermes plc,Alkermes plc - Ordinary Shares
ALLK,Allakos Inc.,Allakos Inc. - Common Stock
ALLT,Allot Communications Ltd.,Allot Communications Ltd. - Ordinary Shares
ALNA,"Allena Pharmaceuticals, Inc.","Allena Pharmaceuticals, Inc. - Common Stock"
ALNY,"Alnylam Pharmaceuticals, Inc.","Alnylam Pharmaceuticals, Inc. - Common Stock"
ALOT,"AstroNova, Inc.","AstroNova, Inc. - Common Stock"
ALPN,"Alpine Immune Sciences, Inc.","Alpine Immune Sciences, Inc. - Common Stock"
ALQA,"Alliqua BioMedical, Inc.","Alliqua BioMedical, Inc. - Common Stock"
ALRM,"Alarm.com Holdings, Inc.","Alarm.com Holdings, Inc. - Common Stock"
ALRN,"Aileron Therapeutics, Inc.","Aileron Therapeutics, Inc. - Common Stock"
ALSK,"Alaska Communications Systems Group, Inc.","Alaska Communications Systems Group, Inc. - Common Stock"
ALT,"Altimmune, Inc.","Altimmune, Inc. - Common Stock"
ALTR,Altair Engineering Inc.,Altair Engineering Inc. - Class A Common Stock
ALTY,Global X SuperDividend Alternatives ETF,Global X SuperDividend Alternatives ETF
ALXN,"Alexion Pharmaceuticals, Inc.","Alexion Pharmaceuticals, Inc. - Common Stock"
AMAG,"AMAG Pharmaceuticals, Inc.","AMAG Pharmaceuticals, Inc. - Common Stock"
AMAL,Amalgamated Bank,Amalgamated Bank - Class A Common Stock
AMAT,"Applied Materials, Inc.","Applied Materials, Inc. - Common Stock"
AMBA,"Ambarella, Inc.","Ambarella, Inc. - Ordinary Shares"
AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc. - Common Stock"
AMBCW,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc. - Warrants"
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,iShares Russell 1000 Pure U.S. Revenue ETF
AMCN,AirMedia Group Inc,"AirMedia Group Inc - American Depositary Shares, each representing two ordinary shares"
AMCX,AMC Networks Inc.,AMC Networks Inc. - Class A Common Stock
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc. - Common Stock"
AMDA,Amedica Corporation,Amedica Corporation - Common Stock
AMED,Amedisys Inc,Amedisys Inc - Common Stock
AMEH,"Apollo Medical Holdings, Inc.","Apollo Medical Holdings, Inc. - Common Stock"
AMGN,Amgen Inc.,Amgen Inc. - Common Stock
AMKR,"Amkor Technology, Inc.","Amkor Technology, Inc. - Common Stock"
AMMA,"Alliance MMA, Inc.","Alliance MMA, Inc. - Common Stock"
AMNB,"American National Bankshares, Inc.","American National Bankshares, Inc. - Common Stock"
AMOT,"Allied Motion Technologies, Inc.","Allied Motion Technologies, Inc. - Common Stock"
AMPH,"Amphastar Pharmaceuticals, Inc.","Amphastar Pharmaceuticals, Inc. - Common Stock"
AMR,"Alta Mesa Resources, Inc.","Alta Mesa Resources, Inc. - Class A Common Stock"
AMRB,American River Bankshares,American River Bankshares - Common Stock
AMRH,"Ameri Holdings, Inc.","Ameri Holdings, Inc. - Common Stock"
AMRHW,"Ameri Holdings, Inc.","Ameri Holdings, Inc. - Warrant"
AMRK,A,"A-Mark Precious Metals, Inc. - Common Stock"
AMRN,Amarin Corporation plc,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share"
AMRS,"Amyris, Inc.","Amyris, Inc. - Common Stock"
AMRWW,"Alta Mesa Resources, Inc.","Alta Mesa Resources, Inc. - Warrant"
AMSC,American Superconductor Corporation,American Superconductor Corporation - Common Stock
AMSF,"AMERISAFE, Inc.","AMERISAFE, Inc. - Common Stock"
AMSWA,"American Software, Inc.","American Software, Inc. - Class A Common Stock"
AMTD,TD Ameritrade Holding Corporation,TD Ameritrade Holding Corporation - Common Stock
AMTX,"Aemetis, Inc","Aemetis, Inc - Common Stock"
AMWD,American Woodmark Corporation,American Woodmark Corporation - Common Stock
AMZN,"Amazon.com, Inc.","Amazon.com, Inc. - Common Stock"
ANAB,"AnaptysBio, Inc.","AnaptysBio, Inc. - Common Stock"
ANAT,American National Insurance Company,American National Insurance Company - Common Stock
ANCB,Anchor Bancorp,Anchor Bancorp - Common Stock
ANCX,Access National Corporation,Access National Corporation - Common Stock
ANDE,"The Andersons, Inc.","The Andersons, Inc. - Common Stock"
ANGI,ANGI Homeservices Inc.,ANGI Homeservices Inc. - Class A Common Stock
ANGO,"AngioDynamics, Inc.","AngioDynamics, Inc. - Common Stock"
ANIK,Anika Therapeutics Inc.,Anika Therapeutics Inc. - Common Stock
ANIP,"ANI Pharmaceuticals, Inc.","ANI Pharmaceuticals, Inc. - Common Stock"
ANSS,"ANSYS, Inc.","ANSYS, Inc. - Common Stock"
ANY,Sphere 3D Corp.,Sphere 3D Corp. - Common Shares
AOBC,American Outdoor Brands Corporation,American Outdoor Brands Corporation - Common Stock
AOSL,Alpha and Omega Semiconductor Limited,Alpha and Omega Semiconductor Limited - Common Shares
APDN,Applied DNA Sciences Inc,Applied DNA Sciences Inc - Common Stock
APDNW,Applied DNA Sciences Inc,Applied DNA Sciences Inc - Warrant
APEI,"American Public Education, Inc.","American Public Education, Inc. - Common Stock"
APEN,"Apollo Endosurgery, Inc.","Apollo Endosurgery, Inc. - Common Stock"
APLS,"Apellis Pharmaceuticals, Inc.","Apellis Pharmaceuticals, Inc. - Common Stock"
APOG,"Apogee Enterprises, Inc.","Apogee Enterprises, Inc. - Common Stock"
APOP,Cellect Biotechnology Ltd.,Cellect Biotechnology Ltd. - American Depositary Shares
APOPW,Cellect Biotechnology Ltd.,Cellect Biotechnology Ltd. - Warrants to Purchase ADR (1 WT and $7.50 to purchase 1 ADS)
APPF,"AppFolio, Inc.","AppFolio, Inc. - Class A Common Stock"
APPN,Appian Corporation,Appian Corporation - Class A Common Stock
APPS,"Digital Turbine, Inc.","Digital Turbine, Inc. - Common Stock"
APRI,"Apricus Biosciences, Inc.","Apricus Biosciences, Inc. - Common Stock"
APTI,"Apptio, Inc.","Apptio, Inc. - Class A Common Stock"
APTO,"Aptose Biosciences, Inc.","Aptose Biosciences, Inc. - Common Shares"
APTX,Aptinyx Inc.,Aptinyx Inc. - Common Stock
APVO,Aptevo Therapeutics Inc.,Aptevo Therapeutics Inc. - Common Stock
APWC,Asia Pacific Wire & Cable Corporation Limited,"Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share"
AQB,"AquaBounty Technologies, Inc.","AquaBounty Technologies, Inc. - Common Stock"
AQMS,"Aqua Metals, Inc.","Aqua Metals, Inc. - Common Stock"
AQST,"Aquestive Therapeutics, Inc.","Aquestive Therapeutics, Inc. - Common Stock"
AQXP,"Aquinox Pharmaceuticals, Inc.","Aquinox Pharmaceuticals, Inc. - Common Stock"
ARAY,Accuray Incorporated,Accuray Incorporated - Common Stock
ARCB,ArcBest Corporation,ArcBest Corporation - Common Stock
ARCC,Ares Capital Corporation,Ares Capital Corporation - Closed End Fund
ARCI,"Appliance Recycling Centers of America, Inc.","Appliance Recycling Centers of America, Inc. - Common Stock"
ARCT,Arcturus Therapeutics Ltd.,Arcturus Therapeutics Ltd. - Ordinary Shares
ARCW,"ARC Group Worldwide, Inc.","ARC Group Worldwide, Inc. - Common Stock"
ARDM,Aradigm Corporation,Aradigm Corporation - Common Stock
ARDS,Aridis Pharmaceuticals Inc.,Aridis Pharmaceuticals Inc. - Common Stock
ARDX,"Ardelyx, Inc.","Ardelyx, Inc. - Common Stock"
AREX,Approach Resources Inc.,Approach Resources Inc. - Common Stock
ARGX,argenx SE,argenx SE - American Depositary Shares
ARII,"American Railcar Industries, Inc.","American Railcar Industries, Inc. - Common Stock"
ARKR,Ark Restaurants Corp.,Ark Restaurants Corp. - Common Stock
ARLP,"Alliance Resource Partners, L.P.","Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests"
ARNA,"Arena Pharmaceuticals, Inc.","Arena Pharmaceuticals, Inc. - Common Stock"
AROW,Arrow Financial Corporation,Arrow Financial Corporation - Common Stock
ARPO,"Aerpio Pharmaceuticals, Inc.","Aerpio Pharmaceuticals, Inc. - Common Stock"
ARQL,"ArQule, Inc.","ArQule, Inc. - Common Stock"
ARRS,ARRIS International plc,ARRIS International plc - Ordinary Shares
ARRY,Array BioPharma Inc.,Array BioPharma Inc. - Common Stock
ARTNA,Artesian Resources Corporation,Artesian Resources Corporation - Class A Non-Voting Common Stock
ARTW,Art's,"Art's-Way Manufacturing Co., Inc. - Common Stock"
ARTX,Arotech Corporation,Arotech Corporation - Common Stock
ARWR,"Arrowhead Pharmaceuticals, Inc.","Arrowhead Pharmaceuticals, Inc. - Common Stock"
ASCMA,"Ascent Capital Group, Inc.","Ascent Capital Group, Inc. - Series A Common Stock"
ASET,FlexShares Real Assets Allocation Index Fund,FlexShares Real Assets Allocation Index Fund
ASFI,"Asta Funding, Inc.","Asta Funding, Inc. - Common Stock"
ASLN,ASLAN Pharmaceuticals Limited,ASLAN Pharmaceuticals Limited - American Depositary Shares
ASMB,"Assembly Biosciences, Inc.","Assembly Biosciences, Inc. - Common Stock"
ASML,ASML Holding N.V.,ASML Holding N.V. - ADS represents 1 ordinary share
ASNA,"Ascena Retail Group, Inc.","Ascena Retail Group, Inc. - Common Stock"
ASND,Ascendis Pharma A/S,Ascendis Pharma A/S - American Depositary Shares
ASNS,"Arsanis, Inc.","Arsanis, Inc. - Common Stock"
ASPS,Altisource Portfolio Solutions S.A.,Altisource Portfolio Solutions S.A. - Common Stock
ASPU,Aspen Group Inc.,Aspen Group Inc. - Common Stock
ASRT,"Assertio Therapeutics, Inc.","Assertio Therapeutics, Inc. - Common Stock"
ASRV,AmeriServ Financial Inc.,AmeriServ Financial Inc. - Common Stock
ASRVP,AmeriServ Financial Inc.,"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A"
ASTC,Astrotech Corporation,Astrotech Corporation - Common Stock
ASTE,"Astec Industries, Inc.","Astec Industries, Inc. - Common Stock"
ASUR,Asure Software Inc,Asure Software Inc - Common Stock
ASV,"ASV Holdings, Inc.","ASV Holdings, Inc. - Common Stock"
ASYS,"Amtech Systems, Inc.","Amtech Systems, Inc. - Common Stock"
ATAC,Atlantic Acquisition Corp.,Atlantic Acquisition Corp. - Common Stock
ATACR,Atlantic Acquisition Corp.,Atlantic Acquisition Corp. - Right
ATACU,Atlantic Acquisition Corp.,Atlantic Acquisition Corp. - Unit
ATAI,ATA Inc.,"ATA Inc. - American Depositary Shares, each representing two common shares"
ATAX,"America First Multifamily Investors, L.P.","America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests"
ATEC,"Alphatec Holdings, Inc.","Alphatec Holdings, Inc. - Common Stock"
ATHN,"athenahealth, Inc.","athenahealth, Inc. - Common Stock"
ATHX,"Athersys, Inc.","Athersys, Inc. - Common Stock"
ATIS,Attis Industries Inc.,Attis Industries Inc. - Common Stock
ATISW,Attis Industries Inc.,Attis Industries Inc. - Warrants
ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation - Common Stock
ATLO,Ames National Corporation,Ames National Corporation - Common Stock
ATNI,"ATN International, Inc.","ATN International, Inc. - Common Stock"
ATNX,"Athenex, Inc.","Athenex, Inc. - Common Stock"
ATOM,Atomera Incorporated,Atomera Incorporated - Common Stock
ATOS,Atossa Genetics Inc.,Atossa Genetics Inc. - Common Stock
ATRA,"Atara Biotherapeutics, Inc.","Atara Biotherapeutics, Inc. - Common Stock"
ATRC,"AtriCure, Inc.","AtriCure, Inc. - Common Stock"
ATRI,Atrion Corporation,Atrion Corporation - Common Stock
ATRO,Astronics Corporation,Astronics Corporation - Common Stock
ATRS,"Antares Pharma, Inc.","Antares Pharma, Inc. - Common Stock"
ATSG,"Air Transport Services Group, Inc","Air Transport Services Group, Inc - Common Stock"
ATTU,Attunity Ltd.,Attunity Ltd. - Ordinary Shares
ATVI,"Activision Blizzard, Inc","Activision Blizzard, Inc - Common Stock"
ATXI,"Avenue Therapeutics, Inc.","Avenue Therapeutics, Inc. - Common Stock"
AUBN,"Auburn National Bancorporation, Inc.","Auburn National Bancorporation, Inc. - Common Stock"
AUDC,AudioCodes Ltd.,AudioCodes Ltd. - Ordinary Shares
AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc - Common Shares
AUTL,Autolus Therapeutics plc,Autolus Therapeutics plc - American Depositary Share
AUTO,"AutoWeb, Inc.","AutoWeb, Inc. - Common Stock"
AVAV,"AeroVironment, Inc.","AeroVironment, Inc. - Common Stock"
AVDL,Avadel Pharmaceuticals plc,Avadel Pharmaceuticals plc - American Depositary Shares each representing one Ordinary Share
AVEO,"AVEO Pharmaceuticals, Inc.","AVEO Pharmaceuticals, Inc. - Common Stock"
AVGO,Broadcom Inc.,Broadcom Inc. - Common Stock
AVGR,"Avinger, Inc.","Avinger, Inc. - Common Stock"
AVHI,"A V Homes, Inc.","A V Homes, Inc. - Common Stock"
AVID,"Avid Technology, Inc.","Avid Technology, Inc. - Common Stock"
AVNW,"Aviat Networks, Inc.","Aviat Networks, Inc. - Common Stock"
AVRO,"AVROBIO, Inc.","AVROBIO, Inc. - Common Stock"
AVT,"Avnet, Inc.","Avnet, Inc. - Common Stock"
AVXL,Anavex Life Sciences Corp.,Anavex Life Sciences Corp. - Common Stock
AWRE,"Aware, Inc.","Aware, Inc. - Common Stock"
AWSM,Cool Holdings Inc.,Cool Holdings Inc. - Common Stock
AXAS,Abraxas Petroleum Corporation,Abraxas Petroleum Corporation - Common Stock
AXDX,"Accelerate Diagnostics, Inc.","Accelerate Diagnostics, Inc. - Common Stock"
AXGN,"AxoGen, Inc.","AxoGen, Inc. - Common Stock"
AXON,Axovant Sciences Ltd.,Axovant Sciences Ltd. - Common Shares
AXSM,"Axsome Therapeutics, Inc.","Axsome Therapeutics, Inc. - Common Stock"
AXTI,AXT Inc,AXT Inc - Common Stock
AY,Atlantica Yield plc,Atlantica Yield plc - Ordinary Shares
AYTU,"Aytu BioScience, Inc.","Aytu BioScience, Inc. - Common Stock"
AZPN,"Aspen Technology, Inc.","Aspen Technology, Inc. - Common Stock"
AZRX,"AzurRx BioPharma, Inc.","AzurRx BioPharma, Inc. - Common Stock"
BABY,Natus Medical Incorporated,Natus Medical Incorporated - Common Stock
BAND,Bandwidth Inc.,Bandwidth Inc. - Class A Common Stock
BANF,BancFirst Corporation,BancFirst Corporation - Common Stock
BANFP,BancFirst Corporation,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities
BANR,Banner Corporation,Banner Corporation - Common Stock
BANX,StoneCastle Financial Corp,StoneCastle Financial Corp - Common Stock
BASI,"Bioanalytical Systems, Inc.","Bioanalytical Systems, Inc. - Common Stock"
BATRA,Liberty Media Corporation,Liberty Media Corporation - Series A Liberty Braves Common Stock
BATRK,Liberty Media Corporation,Liberty Media Corporation - Series C Liberty Braves Common Stock
BBBY,Bed Bath & Beyond Inc.,Bed Bath & Beyond Inc. - Common Stock
BBGI,"Beasley Broadcast Group, Inc.","Beasley Broadcast Group, Inc. - Class A Common Stock"
BBH,VanEck Vectors Biotech ETF,VanEck Vectors Biotech ETF
BBOX,Black Box Corporation,Black Box Corporation - Common Stock
BBSI,"Barrett Business Services, Inc.","Barrett Business Services, Inc. - Common Stock"
BCAC,Bison Capital Acquisition Corp.,Bison Capital Acquisition Corp. - Ordinary Shares
BCACR,Bison Capital Acquisition Corp.,Bison Capital Acquisition Corp. - Rights
BCACU,Bison Capital Acquisition Corp.,"Bison Capital Acquisition Corp. - Units Consisting of 1 OS, 1/2 WT and 1 RT"
BCACW,Bison Capital Acquisition Corp.,Bison Capital Acquisition Corp. - Warrant
BCBP,"BCB Bancorp, Inc. (NJ)","BCB Bancorp, Inc. (NJ) - Common Stock"
BCLI,Brainstorm Cell Therapeutics Inc.,Brainstorm Cell Therapeutics Inc. - Common Stock
BCML,BayCom Corp,BayCom Corp - Common Stock
BCNA,Reality Shares Nasdaq NexGen Economy China ETF,Reality Shares Nasdaq NexGen Economy China ETF
BCOM,B Communications Ltd.,B Communications Ltd. - Ordinary Shares
BCOR,"Blucora, Inc.","Blucora, Inc. - Common Stock"
BCOV,Brightcove Inc.,Brightcove Inc. - Common Stock
BCPC,Balchem Corporation,Balchem Corporation - Common Stock
BCRX,"BioCryst Pharmaceuticals, Inc.","BioCryst Pharmaceuticals, Inc. - Common Stock"
BCTF,"Bancorp 34, Inc.","Bancorp 34, Inc. - Common Stock"
BDGE,"Bridge Bancorp, Inc.","Bridge Bancorp, Inc. - Common Stock"
BDSI,"BioDelivery Sciences International, Inc.","BioDelivery Sciences International, Inc. - Common Stock"
BEAT,"BioTelemetry, Inc.","BioTelemetry, Inc. - Common Stock"
BECN,"Beacon Roofing Supply, Inc.","Beacon Roofing Supply, Inc. - Common Stock"
