id,year,category,full_name,laureate_type,prize_share,prize,motivation,laureate_id,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country
0,1901,Chemistry,Jacobus Henricus van 't Hoff,Individual,1/1,The Nobel Prize in Chemistry 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",160.0,1852-08-30,Rotterdam,Netherlands,Male,Berlin University,Berlin,Germany,1911-03-01,Berlin,Germany
1,1902,Chemistry,Hermann Emil Fischer,Individual,1/1,The Nobel Prize in Chemistry 1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",161.0,1852-10-09,Euskirchen,Prussia (Germany),Male,Berlin University,Berlin,Germany,1919-07-15,Berlin,Germany
2,1903,Chemistry,Svante August Arrhenius,Individual,1/1,The Nobel Prize in Chemistry 1903,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",162.0,1859-02-19,Vik,Sweden,Male,Stockholm University,Stockholm,Sweden,1927-10-02,Stockholm,Sweden
3,1904,Chemistry,Sir William Ramsay,Individual,1/1,The Nobel Prize in Chemistry 1904,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",163.0,1852-10-02,Glasgow,Scotland,Male,University College,London,United Kingdom,1916-07-23,High Wycombe,United Kingdom
4,1905,Chemistry,Johann Friedrich Wilhelm Adolf von Baeyer,Individual,1/1,The Nobel Prize in Chemistry 1905,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",164.0,1835-10-31,Berlin,Prussia (Germany),Male,Munich University,Munich,Germany,1917-08-20,Starnberg,Germany
5,1906,Chemistry,Henri Moissan,Individual,1/1,The Nobel Prize in Chemistry 1906,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",165.0,1852-09-28,Paris,France,Male,Sorbonne University,Paris,France,1907-02-20,Paris,France
6,1907,Chemistry,Eduard Buchner,Individual,1/1,The Nobel Prize in Chemistry 1907,"""for his biochemical researches and his discovery of cell-free fermentation""",166.0,1860-05-20,Munich,Bavaria (Germany),Male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1917-08-13,Focsani,Romania
7,1908,Chemistry,Ernest Rutherford,Individual,1/1,The Nobel Prize in Chemistry 1908,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",167.0,1871-08-30,Nelson,New Zealand,Male,Victoria University,Manchester,United Kingdom,1937-10-19,Cambridge,United Kingdom
8,1909,Chemistry,Wilhelm Ostwald,Individual,1/1,The Nobel Prize in Chemistry 1909,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",168.0,1853-09-02,Riga,Russian Empire (Latvia),Male,Leipzig University,Leipzig,Germany,1932-04-04,Leipzig,Germany
9,1910,Chemistry,Otto Wallach,Individual,1/1,The Nobel Prize in Chemistry 1910,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",169.0,1847-03-27,Koenigsberg (Kaliningrad),Germany (Russia),Male,Goettingen University,Göttingen,Germany,1931-02-26,Göttingen,Germany
10,1911,Chemistry,"Marie Curie, née Sklodowska",Individual,1/1,The Nobel Prize in Chemistry 1911,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",6.0,1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France,1934-07-04,Sallanches,France
11,1912,Chemistry,Victor Grignard,Individual,1/2,The Nobel Prize in Chemistry 1912,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",172.0,1871-05-06,Cherbourg,France,Male,Nancy University,Nancy,France,1935-12-13,Lyon,France
12,1912,Chemistry,Paul Sabatier,Individual,1/2,The Nobel Prize in Chemistry 1912,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",173.0,1854-11-05,Carcassonne,France,Male,Toulouse University,Toulouse,France,1941-08-14,Toulouse,France
13,1913,Chemistry,Alfred Werner,Individual,1/1,The Nobel Prize in Chemistry 1913,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",174.0,1866-12-12,Mulhouse,France,Male,University of Zurich,Zurich,Switzerland,1919-11-15,Zurich,Switzerland
14,1914,Chemistry,Theodore William Richards,Individual,1/1,The Nobel Prize in Chemistry 1914,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",175.0,1868-01-31,"Germantown, PA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1928-04-02,"Cambridge, MA",United States of America
15,1915,Chemistry,Richard Martin Willstätter,Individual,1/1,The Nobel Prize in Chemistry 1915,"""for his researches on plant pigments, especially chlorophyll""",176.0,1872-08-13,Karlsruhe,Germany,Male,Munich University,Munich,Germany,1942-08-03,Locarno,Switzerland
16,1918,Chemistry,Fritz Haber,Individual,1/1,The Nobel Prize in Chemistry 1918,"""for the synthesis of ammonia from its elements""",177.0,1868-12-09,Breslau (Wroclaw),Prussia (Poland),Male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,1934-01-29,Basel,Switzerland
17,1920,Chemistry,Walther Hermann Nernst,Individual,1/1,The Nobel Prize in Chemistry 1920,"""in recognition of his work in thermochemistry""",178.0,1864-06-25,Briesen,Prussia (Germany),Male,Berlin University,Berlin,Germany,1941-11-18,Muskau,Germany
18,1921,Chemistry,Frederick Soddy,Individual,1/1,The Nobel Prize in Chemistry 1921,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",179.0,1877-09-02,Eastbourne,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1956-09-22,Brighton,United Kingdom
19,1922,Chemistry,Francis William Aston,Individual,1/1,The Nobel Prize in Chemistry 1922,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",180.0,1877-09-01,Harborne,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1945-11-20,Cambridge,United Kingdom
