Year,Category,Full Name,Motivation,Laureate Type,Prize Share,Prize,Laureate ID,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1901,Chemistry,Jacobus Henricus van 't Hoff,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",Individual,1/1,The Nobel Prize in Chemistry 1901,160.0,1852-08-30,Rotterdam,Netherlands,Male,Berlin University,Berlin,Germany,1911-03-01,Berlin,Germany
1902,Chemistry,Hermann Emil Fischer,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",Individual,1/1,The Nobel Prize in Chemistry 1902,161.0,1852-10-09,Euskirchen,Prussia (Germany),Male,Berlin University,Berlin,Germany,1919-07-15,Berlin,Germany
1903,Chemistry,Svante August Arrhenius,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",Individual,1/1,The Nobel Prize in Chemistry 1903,162.0,1859-02-19,Vik,Sweden,Male,Stockholm University,Stockholm,Sweden,1927-10-02,Stockholm,Sweden
1904,Chemistry,Sir William Ramsay,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",Individual,1/1,The Nobel Prize in Chemistry 1904,163.0,1852-10-02,Glasgow,Scotland,Male,University College,London,United Kingdom,1916-07-23,High Wycombe,United Kingdom
1905,Chemistry,Johann Friedrich Wilhelm Adolf von Baeyer,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",Individual,1/1,The Nobel Prize in Chemistry 1905,164.0,1835-10-31,Berlin,Prussia (Germany),Male,Munich University,Munich,Germany,1917-08-20,Starnberg,Germany
1906,Chemistry,Henri Moissan,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",Individual,1/1,The Nobel Prize in Chemistry 1906,165.0,1852-09-28,Paris,France,Male,Sorbonne University,Paris,France,1907-02-20,Paris,France
1907,Chemistry,Eduard Buchner,"""for his biochemical researches and his discovery of cell-free fermentation""",Individual,1/1,The Nobel Prize in Chemistry 1907,166.0,1860-05-20,Munich,Bavaria (Germany),Male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1917-08-13,Focsani,Romania
1908,Chemistry,Ernest Rutherford,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",Individual,1/1,The Nobel Prize in Chemistry 1908,167.0,1871-08-30,Nelson,New Zealand,Male,Victoria University,Manchester,United Kingdom,1937-10-19,Cambridge,United Kingdom
1909,Chemistry,Wilhelm Ostwald,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",Individual,1/1,The Nobel Prize in Chemistry 1909,168.0,1853-09-02,Riga,Russian Empire (Latvia),Male,Leipzig University,Leipzig,Germany,1932-04-04,Leipzig,Germany
1910,Chemistry,Otto Wallach,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",Individual,1/1,The Nobel Prize in Chemistry 1910,169.0,1847-03-27,Koenigsberg (Kaliningrad),Germany (Russia),Male,Goettingen University,Göttingen,Germany,1931-02-26,Göttingen,Germany
1911,Chemistry,"Marie Curie, née Sklodowska","""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",Individual,1/1,The Nobel Prize in Chemistry 1911,6.0,1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France,1934-07-04,Sallanches,France
1912,Chemistry,Victor Grignard,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",Individual,1/2,The Nobel Prize in Chemistry 1912,172.0,1871-05-06,Cherbourg,France,Male,Nancy University,Nancy,France,1935-12-13,Lyon,France
1912,Chemistry,Paul Sabatier,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",Individual,1/2,The Nobel Prize in Chemistry 1912,173.0,1854-11-05,Carcassonne,France,Male,Toulouse University,Toulouse,France,1941-08-14,Toulouse,France
1913,Chemistry,Alfred Werner,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",Individual,1/1,The Nobel Prize in Chemistry 1913,174.0,1866-12-12,Mulhouse,France,Male,University of Zurich,Zurich,Switzerland,1919-11-15,Zurich,Switzerland
1914,Chemistry,Theodore William Richards,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",Individual,1/1,The Nobel Prize in Chemistry 1914,175.0,1868-01-31,"Germantown, PA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1928-04-02,"Cambridge, MA",United States of America
1915,Chemistry,Richard Martin Willstätter,"""for his researches on plant pigments, especially chlorophyll""",Individual,1/1,The Nobel Prize in Chemistry 1915,176.0,1872-08-13,Karlsruhe,Germany,Male,Munich University,Munich,Germany,1942-08-03,Locarno,Switzerland
1918,Chemistry,Fritz Haber,"""for the synthesis of ammonia from its elements""",Individual,1/1,The Nobel Prize in Chemistry 1918,177.0,1868-12-09,Breslau (Wroclaw),Prussia (Poland),Male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,1934-01-29,Basel,Switzerland
1920,Chemistry,Walther Hermann Nernst,"""in recognition of his work in thermochemistry""",Individual,1/1,The Nobel Prize in Chemistry 1920,178.0,1864-06-25,Briesen,Prussia (Germany),Male,Berlin University,Berlin,Germany,1941-11-18,Muskau,Germany
1921,Chemistry,Frederick Soddy,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",Individual,1/1,The Nobel Prize in Chemistry 1921,179.0,1877-09-02,Eastbourne,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1956-09-22,Brighton,United Kingdom
1922,Chemistry,Francis William Aston,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",Individual,1/1,The Nobel Prize in Chemistry 1922,180.0,1877-09-01,Harborne,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1945-11-20,Cambridge,United Kingdom
1923,Chemistry,Fritz Pregl,"""for his invention of the method of micro-analysis of organic substances""",Individual,1/1,The Nobel Prize in Chemistry 1923,181.0,1869-09-03,Laibach (Ljubljana),Austria-Hungary (Slovenia),Male,Graz University,Graz,Austria,1930-12-13,Graz,Austria
1925,Chemistry,Richard Adolf Zsigmondy,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry""",Individual,1/1,The Nobel Prize in Chemistry 1925,182.0,1865-04-01,Vienna,Austrian Empire (Austria),Male,Goettingen University,Göttingen,Germany,1929-09-24,Göttingen,Germany
1926,Chemistry,The (Theodor) Svedberg,"""for his work on disperse systems""",Individual,1/1,The Nobel Prize in Chemistry 1926,183.0,1884-08-30,Fleräng,Sweden,Male,Uppsala University,Uppsala,Sweden,1971-02-25,Örebro,Sweden
1927,Chemistry,Heinrich Otto Wieland,"""for his investigations of the constitution of the bile acids and related substances""",Individual,1/1,The Nobel Prize in Chemistry 1927,184.0,1877-06-04,Pforzheim,Germany,Male,Munich University,Munich,Germany,1957-08-05,Munich,West Germany (Germany)
1928,Chemistry,Adolf Otto Reinhold Windaus,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",Individual,1/1,The Nobel Prize in Chemistry 1928,185.0,1876-12-25,Berlin,Germany,Male,Goettingen University,Göttingen,Germany,1959-06-09,Göttingen,West Germany (Germany)
1929,Chemistry,Arthur Harden,"""for their investigations on the fermentation of sugar and fermentative enzymes""",Individual,1/2,The Nobel Prize in Chemistry 1929,186.0,1865-10-12,Manchester,United Kingdom,Male,London University,London,United Kingdom,1940-06-17,Bourne,United Kingdom
1929,Chemistry,Hans Karl August Simon von Euler-Chelpin,"""for their investigations on the fermentation of sugar and fermentative enzymes""",Individual,1/2,The Nobel Prize in Chemistry 1929,187.0,1873-02-15,Augsburg,Germany,Male,Stockholm University,Stockholm,Sweden,1964-11-06,Stockholm,Sweden
1930,Chemistry,Hans Fischer,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",Individual,1/1,The Nobel Prize in Chemistry 1930,188.0,1881-07-27,Hoechst,Germany,Male,Technische Hochschule (Institute of Technology),Munich,Germany,1945-03-31,Munich,Germany
1931,Chemistry,Carl Bosch,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",Individual,1/2,The Nobel Prize in Chemistry 1931,189.0,1874-08-27,Cologne,Germany,Male,University of Heidelberg,Heidelberg,Germany,1940-04-26,Heidelberg,Germany
1931,Chemistry,Carl Bosch,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",Individual,1/2,The Nobel Prize in Chemistry 1931,189.0,1874-08-27,Cologne,Germany,Male,I.G. Farbenindustrie A.G.,Heidelberg,Germany,1940-04-26,Heidelberg,Germany
1931,Chemistry,Friedrich Bergius,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",Individual,1/2,The Nobel Prize in Chemistry 1931,190.0,1884-10-11,"Goldschmieden, near Breslau",Germany (Poland),Male,University of Heidelberg,Heidelberg,Germany,1949-03-30,Buenos Aires,Argentina
1931,Chemistry,Friedrich Bergius,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",Individual,1/2,The Nobel Prize in Chemistry 1931,190.0,1884-10-11,"Goldschmieden, near Breslau",Germany (Poland),Male,I.G. Farbenindustrie A.G.,Mannheim-Rheinau,Germany,1949-03-30,Buenos Aires,Argentina
1932,Chemistry,Irving Langmuir,"""for his discoveries and investigations in surface chemistry""",Individual,1/1,The Nobel Prize in Chemistry 1932,191.0,1881-01-31,"Brooklyn, NY",United States of America,Male,General Electric Company,"Schenectady, NY",United States of America,1957-08-16,"Falmouth, MA",United States of America
1934,Chemistry,Harold Clayton Urey,"""for his discovery of heavy hydrogen""",Individual,1/1,The Nobel Prize in Chemistry 1934,192.0,1893-04-29,"Walkerton, IN",United States of America,Male,Columbia University,"New York, NY",United States of America,1981-01-05,"La Jolla, CA",United States of America
