Text,Language
"Nature é uma revista científica interdisciplinar britânica, publicada pela primeira vez em 4 de novembro de 1869.",Portugeese
"[2] Foi classificada como a revista científica mais citada do mundo pela edição de 2010 do Journal Citation Reports, sendo amplamente considerada como uma das poucas revistas acadêmicas remanescentes que publica pesquisas originais em uma ampla gama de campos científicos.",Portugeese
[3] A Nature tem um público on-line de cerca de 3 milhões de leitores únicos por mês.,Portugeese
"[4] A revista tem uma circulação semanal de cerca de 53 mil exemplares, mas estudos concluíram que, em média, uma única cópia é compartilhada por até oito pessoas.",Portugeese
"[5] Os cientistas da pesquisa são o público principal da revista, mas resumos e artigos de acompanhamento destinam-se a fazer muitos dos estudos importantes mais compreensíveis para cientistas de outras áreas e para o público educado.",Portugeese
"Em cada edição há editoriais, notícias e artigos sobre questões de interesse geral para cientistas, incluindo assuntos atuais, o financiamento da ciência, negócios, ética científica e descobertas de pesquisa.",Portugeese
"Há muitas áreas de investigação em que novos e importantes avanços e pesquisas originais são publicados, tanto como artigos quanto como cartas.",Portugeese
Os trabalhos que foram publicados nesta revista são internacionalmente aclamados pela manutenção de altos padrões de pesquisa.,Portugeese
"Em 2007, a Nature (em conjunto com a Science) recebeu o Prêmio Princesa das Astúrias de Comunicação e Humanidade.",Portugeese
"[6][7] No dia 14 de dezembro de 2005, a revista Nature publicou um artigo sobre a Wikipédia a respeito de uma pesquisa feita comparando alguns de seus artigos com os da enciclopédia Britânica em áreas científicas quanto à quantidade de erros encontrados.",Portugeese
"[8] A Wikipédia é um projeto de enciclopédia multilíngue de licença livre,[5][6] baseado na web e escrito de maneira colaborativa.",Portugeese
"[6] O projeto encontra-se sob administração da Fundação Wikimedia,[7] uma organização sem fins lucrativos cuja missão é ""empoderar e engajar pessoas pelo mundo para coletar e desenvolver conteúdo educacional sob uma licença livre ou no domínio público, e para disseminá-lo efetivamente e globalmente"".",Portugeese
"[8] Integrando um dos vários projetos[5] mantidos pela Wikimedia, os mais de 51 milhões de artigos (1 054 034 em português, até 29 de janeiro de 2021) hoje encontrados na Wikipédia foram escritos de forma conjunta por diversos voluntários ao redor do mundo.",Portugeese
Quase todos os verbetes presentes no sítio eletrônico podem igualmente ser editados por qualquer pessoa com acesso à internet e ao endereço eletrônico.,Portugeese
"[nota 2] Em janeiro de 2020, havia edições ativas da Wikipédia em 299 idiomas.",Portugeese
"A Wikipédia foi lançada em 15 de janeiro de 2001 por Jimmy Wales e Larry Sanger[9] e tornou-se a maior e mais popular obra de referência geral na internet,[1][10][11][12] sendo classificada em novembro de 2018, na quinta posição entre todos os websites do Alexa.",Portugeese
"[10] Em 2010, tinha cerca de 365 milhões de leitores.",Portugeese
"[13] A Wikipédia é uma ferramenta de pesquisa amplamente utilizada por estudantes e tem influenciado o trabalho de publicitários, pedagogos, sociólogos e jornalistas, que usam seu material, mesmo que nem sempre citem suas fontes.",Portugeese
"[14] O nome Wikipedia foi criado por Larry Sanger[15] e é uma combinação de wiki (uma tecnologia para criar sites colaborativos, a partir da palavra havaiana wiki, que significa ""rápido"") e enciclopédia.",Portugeese
"A palavra ""Wikipédia"" é uma adequação lusófona da forma original anglófona sobre a fusão dos dois nomes que formam o termo.",Portugeese
"Em português, o prefixo ""Wiki"" é somado ao sufixo de ""enciclopédia"", ganhando acento diacrítico agudo no e, para atender à gramática lusófona.",Portugeese
"A Wikipédia afasta-se do estilo tradicional de construção de uma enciclopédia, possuindo uma grande presença de conteúdo não acadêmico.",Portugeese
"Quando a revista Time reconheceu ""Você"" como a Pessoa do Ano de 2006, devido ao sucesso acelerado da colaboração online e da interação de milhões de usuários ao redor do mundo, citou a Wikipédia como um dos vários exemplos de serviços da Web 2.0, juntamente com YouTube, MySpace e Facebook.",Portugeese
"[16] A importância da Wikipédia tem sido notada não apenas como uma referência enciclopédica, mas também como um recurso de notícias atualizado com frequência, por conta da rapidez com que artigos sobre acontecimentos recentes aparecem.",Portugeese
[17][18] Estudantes têm sido orientados a escrever artigos para a Wikipédia como um exercício de explicar de forma clara e sucinta conceitos difíceis para um público não iniciado.,Portugeese
"[19] Embora as políticas da Wikipédia defendam fortemente a verificabilidade e um ponto de vista neutro, seus críticos acusam-na de viés sistêmico e inconsistências (incluindo o peso excessivo dado à cultura de massa)[20] e alegam que ela favorece o consenso sobre credenciais em seus processos editoriais.",Portugeese
[21] Sua confiabilidade e precisão também são alvo de críticas.,Portugeese
[22] Outras críticas apontam a sua suscetibilidade ao vandalismo e à adição de informações falsas ou não verificadas.,Portugeese
"[23] No entanto, trabalhos acadêmicos sugerem que os vandalismos são geralmente de curta duração.",Portugeese
"[24][25] Uma pesquisa de 2005 na revista Nature mostrou que os artigos científicos que eles compararam chegavam perto do nível de precisão da Encyclopædia Britannica e tinham uma taxa semelhante de ""erros graves"".",Portugeese
"[26] Outra pesquisa de 2011 realizada pelo ForeSee Results e divulgada pela CNET mostrou que, em uma escala de satisfação de 0 a 100, os internautas atribuíram 78 pontos à Wikipédia, um resultado maior que o de outros sites consagrados, como YouTube e Facebook.",Portugeese
"[27] A Wikipédia começou como um projeto complementar para a Nupedia, um projeto de enciclopédia online gratuita de língua inglesa, cujos artigos eram escritos por especialistas e revistos em um processo formal.",Portugeese
"[28] A Nupedia foi fundada em 9 de março de 2000, sob a posse da Bomis, uma empresa de portal web.",Portugeese
"Suas principais figuras eram Jimmy Wales, CEO da Bomis, e Larry Sanger, editor-chefe da Nupedia e posteriormente da Wikipédia.",Portugeese
"A Nupedia foi licenciada inicialmente sob sua própria licença de conteúdo aberto, a mudança para a GNU Free Documentation License aconteceu antes da fundação da Wikipédia, a pedido de Richard Stallman.",Portugeese
[29] Larry Sanger e Jimmy Wales fundaram a Wikipédia.,Portugeese
"[30][31] Embora Wales seja creditado por definir o objetivo de fazer uma enciclopédia editável publicamente,[32][33] Sanger é geralmente creditado pela estratégia de usar um wiki para alcançar esse objetivo.",Portugeese
"[34] Em 10 de janeiro de 2001, Larry Sanger propôs na lista de discussão da Nupedia a criação de um wiki como um projeto ""alimentador"" para a Nupedia.",Portugeese
"[35] A Wikipédia foi formalmente lançada em 15 de janeiro de 2001, como uma única edição em inglês em www.wikipedia.com[36] e anunciada por Sanger na lista de discussão da Nupedia.",Portugeese
"[32] A política do ""ponto de vista neutro"" da Wikipédia""[nota 3] foi codificada em seus meses iniciais e era semelhante à política anterior da Nupedia de ""não-parcialidade"".",Portugeese
"Por outro lado, inicialmente havia relativamente poucas regras e a Wikipédia operava independentemente da Nupedia.",Portugeese
"[32] A Wikipédia ganhou os primeiros colaboradores da Nupedia, de postagens no Slashdot e indexação do motor de busca na web.",Portugeese
"Até o final de 2001, o site já havia crescido para cerca de 20 000 artigos em 18 idiomas.",Portugeese
"No final de 2002, tinha alcançado 26 edições em idiomas diferentes, 46 até o final de 2003 e 161 nos últimos dias de 2004.",Portugeese
A Nupedia e a Wikipédia coexistiram até os servidores da primeira serem retirados de forma permanente em 2003 e seu texto incorporado na Wikipédia.,Portugeese
"A Wikipédia em inglês passou a marca dos dois milhões de artigos em 9 de setembro de 2007, tornando-a a maior enciclopédia já construída, superando até mesmo a Enciclopédia Yung-lo Ta-tien (1407), que detinha esse recorde desde há exatamente 600 anos.",Portugeese
"[37] Citando temores de publicidade comercial ser inserida no site e a falta de controle numa Wikipédia que viam como sendo anglo-cêntrica, usuários da Wikipédia em espanhol criaram uma versão independente da Wikipédia em fevereiro de 2002, a Enciclopedia Libre.",Portugeese
"[38] Mais tarde naquele ano, Wales anunciou que a Wikipédia não iria exibir anúncios publicitários e seu site foi movido para wikipedia.org.",Portugeese
"[39] Vários outros projetos de wiki-enciclopédias foram iniciados, em grande parte sob uma filosofia diferente do modelo editorial aberto e baseado no chamado ""princípio da imparcialidade"" da Wikipédia.",Portugeese
"O Wikinfo, por exemplo, não requer um ponto de vista neutro e permite pesquisas originais.",Portugeese
"Novos projetos inspirados na Wikipédia — como o Citizendium, Scholarpedia, Conservapedia e o Knol, da Google, onde os artigos são um pouco mais ensaísticos[40] — foram iniciados para tratar de limitações de percepção da Wikipédia, como suas políticas sobre revisão por pares, pesquisa original e publicidade comercial.",Portugeese
"Embora a Wikipédia em inglês tenha chegado aos três milhões de artigos em agosto de 2009, o crescimento de edições, em termos de números de artigos e de colaboradores, parece ter estabilizado em torno do início de 2007.",Portugeese
"[41] Em 2006, cerca de 1 800 artigos foram adicionados diariamente à enciclopédia; até 2010 essa média era de cerca de 1 000.",Portugeese
[42] A equipe do Palo Alto Research Center especulou que isso se deve ao aumento da exclusividade do projeto.,Portugeese
"[43] Editores novos ou ocasionais têm taxas significativamente mais altas de suas edições revertidas (removidas) do que um grupo de elite de editores regulares, coloquialmente conhecido como a ""panela"".",Portugeese
"Isso poderá estar a tornar mais difícil para o projeto recrutar e reter novos colaboradores a longo prazo, resultando na estagnação da criação de novos artigos.",Portugeese
"Outros sugerem que o crescimento está a nivelar naturalmente, pois os artigos mais básicos já existem.",Portugeese
"[44][45] Em novembro de 2009, uma tese de doutorado escrita por Felipe Ortega, um pesquisador da Universidade Rey Juan Carlos em Madrid, revelou que a Wikipédia em inglês havia perdido 49 000 editores nos primeiros três meses de 2009, enquanto que durante o mesmo período em 2008 o mesmo projeto perdeu apenas 4 900 editores.",Portugeese
"[46][47] O The Wall Street Journal relatou que ""um número sem precedentes de milhões de voluntários online que escrevem, editam e policiam a Wikipédia está desistindo.""",Portugeese
Entre as razões citadas no artigo para esta tendência encontram-se a matriz de regras aplicadas à edição e disputas relacionadas a tais conteúdos.,Portugeese
"[48] Estas alegações foram contestadas por Jimmy Wales, que negou o declínio e questionou a metodologia do estudo.",Portugeese
"[49] Em janeiro de 2007, a Wikipédia entrou na lista dos dez sites mais populares nos Estados Unidos, segundo a comScore Networks Inc. Com 42,9 milhões de visitantes únicos e o nono lugar, a Wikipédia superou os sites do The New York Times (10.º) e Apple Inc. (11.º).",Portugeese
"Foi um aumento significativo em relação a janeiro de 2006, quando o site estava posicionado no 33.º lugar, com apenas 18,3 milhões de visitantes únicos.",Portugeese
"[50] Em abril de 2011, a Wikipédia foi listada como o quinto site mais popular do mundo pela Google Inc.[51][52] Fundação – final de 2001 6 de dezembro de 2001 – 2003 13 de outubro de 2003 – 13 de maio de 2010 Logo atual Afastando-se do estilo das enciclopédias tradicionais, a Wikipédia emprega um sistema aberto, um modelo de edição ""wiki"".",Portugeese
"Exceto por algumas páginas particularmente propensas ao vandalismo, cada artigo pode ser editado de forma anônima ou com uma conta de usuário.",Portugeese
"Edições em diferentes idiomas modificam esta política, por exemplo, na edição em inglês apenas os utilizadores registados podem criar um novo artigo.",Portugeese
"Nenhum artigo ou o seu conteúdo é propriedade do seu criador ou de qualquer outro editor, ou é avaliado por qualquer autoridade reconhecida; ao contrário, os conteúdos são acordados por consenso.",Portugeese
"Por padrão, qualquer edição em um artigo se torna disponível imediatamente, antes de qualquer revisão.",Portugeese
"Isto significa que um artigo pode conter erros, contribuições equivocadas, defesa de algo, ou mesmo absurdos evidentes, até que outro editor corrija o problema.",Portugeese
"Edições em diferentes idiomas, cada uma sob controle administrativo separado, são livres para modificar esta política.",Portugeese
"Por exemplo, a Wikipédia em alemão mantém um sistema de ""versões estáveis"" de artigos, para permitir que um leitor veja as versões dos artigos que passaram por certas revisões.",Portugeese
"[54] Em junho de 2010, os administradores anunciaram que a Wikipédia em inglês eliminaria as restrições de edição estritas de artigos ""controversos"" ou propensos a vandalismo (como George W. Bush, David Cameron, ou lição de casa) usando revisões.",Portugeese
"[55] No lugar de proibir edições de usuários novos ou não registrados, haveria um ""novo sistema, chamado de 'alterações pendentes'"" que, como Jimmy Wales disse à BBC, permitiria à Wikipédia em inglês ""liberar os artigos que foram protegidos ou semiprotegidos por anos para a edição geral.""",Portugeese
"O sistema de ""alterações pendentes"" foi introduzido em 15 de junho de 2010, pouco depois das 23 horas no Tempo Médio de Greenwich (GMT).",Portugeese
"Edições em artigos especificados são agora ""sujeitas a revisão de um editor estabelecido da Wikipédia antes da publicação.""",Portugeese
"Wales opôs-se ao modelo da Wikipédia em alemão de exigir revisão do editor antes de edições em qualquer artigo, descrevendo-o como ""desnecessário e indesejável.""",Portugeese
"Ele acrescentou que os administradores da Wikipédia em alemão irão ""acompanhar de perto o sistema da versão inglesa e tenho certeza que eles vão, pelo menos, considerar a mudança se os resultados forem bons.",Portugeese
"""[56] Contribuintes, registrados ou não, podem tirar proveito dos recursos disponíveis no software que opera a Wikipédia.",Portugeese
"A página ""Ver histórico"" que acompanha cada artigo, regista toda e qualquer versão anterior do verbete, embora uma revisão com conteúdo calunioso, ameaças criminosas ou violações de direitos autorais possam ser removidas mais tarde.",Portugeese
"[57] [nota 4] Esta característica torna mais fácil comparar antigas e novas versões do artigo, desfazer alterações que um editor considera indesejáveis, ou restaurar um conteúdo perdido.",Portugeese
"A página ""Discussão"", associada a cada artigo, é utilizada para coordenar o trabalho entre vários editores.",Portugeese
"[58] Editores regulares muitas vezes mantêm uma lista de ""páginas vigiadas"" de artigos de interesse para eles, de modo que eles podem facilmente manter o controle sobre todas as alterações recentes nessas páginas.",Portugeese
