Text,Language
"نيتشر (بالإنجليزية: Nature)‏ قد تعني:    تعديل - تعديل مصدري - تعديل ويكي بيانات ويكيبيديا (تلفظ ‎[wi:ki:bi:dija:]‏ وتلحن ‎[wikipi:dia]‏؛ تلفظ بالإنجليزية ‎/ˌwɪkiˈpi:di.ə/‏)[7] والكلمة مشتقة من مقطعين: ويكي wiki وتعني بلغة هاواي ""بالغ السرعة""، والثاني بيديا pedia ومشتق من كلمة موسوعة encyclopedia، ويكيبيديا هي موسوعة متعددة اللغات، مبنية على الويب، ذات محتوى حر، تشغلها مؤسسة ويكيميديا، التي هي منظمة غير ربحية.",Arabic
ويكيبيديا هي موسوعة يمكن لأي مستخدم تعديل وتحرير وإنشاء مقالات جديدة فيها.,Arabic
في مارس 2009 كان في ويكيبيديا 15 مليون مقالة تقريبًا، مكتوبة بما يقارب 292 لغة.,Arabic
في يوم 17 أغسطس، 2009: وصلت ويكيبيديا الإنجليزية لثلاثة ملايين مقالة.,Arabic
[8] تكتب المقالات تعاونيًا بواسطة متطوعين من حول العالم والغالبية العظمى من محتويات الموسوعة يمكن تعديلها بواسطة أي شخص يمتلك اتصالاً بالإنترنت.,Arabic
شهرة ويكيبيديا تنمو بثبات منذ بداية عملها.,Arabic
ويكيبيديا من الإنجليزية ويكيبيديا هي اختصار لكلمتين هما: ويكي بالإنجليزية Wiki (نوع من مواقع الويب التي يتم تحريرها جماعيا)، والكلمة الثانية هي بيديا من كلمة Encyclopedia والتي تعني بالعربية موسوعة.,Arabic
تنتشر خوادم ويكيبيديا الرئيسية في تامبا، فلوريدا، وخوادم أخرى موجودة في أمستردام وسيول.,Arabic
يعد ويكيبيديا من أشهر عشرة مواقع على الإنترنت على مستوى العالم.,Arabic
[9] نتيجة لطبيعة ويكيبيديا التي تسمح لأي مستخدم بتعديل مقالاتها، شكك النقاد والمحللون بها وتساءلوا عن مدى مصداقيتها ودقتها.,Arabic
[10][11] إذ أن بإمكان أي مستخدم أن يجري تعديلات على محتويات الموسوعة، تزيد احتمالية أن يضيف مجهولون أو مستخدمو الموسوعة المسجلون معلومات خاطئة أو غير مؤكدة، أو يقوم المخربون بحذف أقسام من مقالات أو إضافة تعليقات شخصية أو آراء متحيزة، خاصةً في المواضيع السياسية والدينية.,Arabic
أيضا تثار الشكوك حول حيادية المقالات في ويكيبيديا، ومدى دقة المعلومات الواردة بهذه المقالات.,Arabic
حدد القائمون على موسوعة ويكيبيديا مجموعة من السياسات والتعليمات التي يجب على مستخدمي الموسوعة الالتزام بها عند تحرير وتعديل محتويات الموسوعة، هذه السياسات تهدف إلى التصدي لمحاولات التخريب، وتحاول ضمان مصداقية المعلومات التي تحويها مقالات هذه الموسوعة.,Arabic
