Text,Language
"IESVS CHRIST Dauid-en semearen, Abrahamen semearen generationeco Liburuä.",Basque
Abrahamec engendra ceçan Isaac. Eta Isaac-ec engendra ceçan Iacob. Eta Iacob-ec engendra citzan Iuda eta haren anayeac.,Basque
Eta Iudac engendra citzan Phares eta Zara Thamarganic. Eta Pharesec engendra ceçan Esrom. Eta Esromec engendra ceçan Aram.,Basque
Eta Aramec engendra ceçan Aminadab. Eta Aminadab-ec engendra ceçan Naasson. Eta Naassonec engendra ceçan Salmon.,Basque
Eta Salmonec engendra ceçan Booz Rachabganic. Eta Boozec engendra ceçan Obed Ruthganic. Eta Obed-ec engendra ceçan Iesse.,Basque
Eta Iessec engendra ceçan Dauid reguea. Eta Dauid regueac engendra ceçan Salomon Vriasen emazte içanaganic.,Basque
Eta Salomonec engendra ceçan Roboam. Eta Roboamec engendra ceçan Abia. Eta Abiac engendra ceçan Asa.,Basque
Eta Asac engendra ceçan Iosaphat. Eta Iosaphatec engendra ceçan Ioram. Eta Ioramec engendra ceçan Ozias.,Basque
Eta Oziasec engendra ceçan Ioatham. Eta Ioathamec engendra ceçan Achaz. Eta Achazec engendra ceçan Ezechias.,Basque
Eta Ezechiasec engendra ceçan Manasse. Eta Manassec engendra ceçan Amon. Eta Amonec engendra ceçan Iosias.,Basque
"Eta Iosiasec engendra ceçan Iacim. Eta Iacimec engrendra citzan Iechonias eta haren anayeac, Babylonerat eraman içan ciradenean.",Basque
"Eta Babylonerát eraman içan ciraden ondoan, Iechoniasec engendra ceçan Salathiel. Eta Salathielec engendra ceçan Zorobabel.",Basque
Eta Zorobabelec engendra ceçan Abiud. Eta Abiud-ec engendra ceçan Eliacim. Eta Eliacimec engendra ceçan Azor.,Basque
Eta Azorec engendra ceçan Sadoc. Eta Sadoc-ec engendra ceçan Achim. Eta Achimec engendra ceçan Eliud.,Basque
Eta Eliud-ec engendra ceçan Eleazar. Eta Eleazarec engendra ceçan Mathan. Eta Mathanec engendra ceçan Iacob.,Basque
"Eta Iacob-ec engendra ceçan Ioseph Mariaren senharra, ceinaganic iayo içan baita Iesus, cein erraiten baita Christ.",Basque
"Bada Abrahamganic Dauidgananoco generatione guciac, dirade hamalaur generatione. Eta Dauidganic Babylonerat eraman içan ciraden arteranocoac, hamalaur generatione. Eta Babylonerat eraman içan ciradenetic Christgananocoac, hamalaur generatione.",Basque
"Bada Iesus Christen sortzea hunela içan da. Ecen Maria haren ama Iosephequin fedatua cela, hec elkargana gabe, içorra eriden cedin Spiritu sainduaganic.",Basque
"Orduan bere senhar Iosephec, ceren iusto baitzen eta ezpaitzuen hura diffamatu nahi, secretuqui vtzi nahi vkan çuen.",Basque
"Baina gauça hauc gogoan cerabiltzala, huná, Iaunaren Aingueruä aguer cequion ametsetaric, cioela, Ioseph Dauid-en semeá, ezaicela beldur eure emazte Mariaren hartzera: ecen hartan concebitu dena, Spiritu sainduaganic duc.",Basque
Eta erdiren duc seme batez eta deithuren duc haren icena Iesus. Ecen harc saluaturen dic bere populua hayen bekatuetaric.,Basque
"Bada haur gucia eguin içan da, Iaunac Prophetáz erran vkan çuena compli ledinçát, cioela,",Basque
"Huná, virginabat içorra içanen da, eta erdiren da seme batez, eta deithuren duté haren icena Emmanuel, cein erran nahi baita hambat nola, Iaincoa gurequin.",Basque
"Lotaric iratzarturic bada Iosephec eguin ceçan Aingueruäc manatu ceraucan beçala, eta har ceçan bere emaztea.",Basque
"Eta etzeçan hura eçagut, bere lehen semeaz erdi cedino: eta deiceçan haren icena Iesus.",Basque
"Iayo cenean bada Iesus Bethlehem Iudeacoan regue Herodesen demborán, huná, Çuhurrac Orientetic ethor citecen Ierusalemera,",Basque
"Cioitela, Non da Iuduén regue iayo dena? ecen ikussi dugu haren içarra Orientean, eta ethorri gara hura adora deçagunçat.",Basque
"Bada regue Herodes ençunic hori trubla cedin, eta Ierusaleme gucia harequin.",Basque
"Eta bilduric Sacrificadore principal guciac eta populuaren Scribác, informa cedin hetaric non Christ sortzeco cen.",Basque
"Eta hec erran cieçoten, Bethlehem Iudeacoan, ecen hunela scribatua duc Prophetáz,",Basque
"Eta hi Bethlehem Iudaco lurrá, ezaiz Iudaco gobernadorén arteco chipiena, ecen hireganic ilkiren duc, Israel ene populua bazcaturen duen gobernadorea.",Basque
"Orduan Herodes secretuqui Çuhurrac deithuric informa cedin hetaric diligentqui, içarra aguertu içan çayen demboráz:",Basque
"Eta hec Bethlehemerat igorriric, erran cieçén, Ioanic informa çaitezte diligentqui haourtchoaz: eta eriden duqueçuenean, iaquin eraci ieçadacue, nic-ere ethorriric adora deçadan hura.",Basque
"Hec bada reguea ençunic parti citecen: eta huná, Orientean ikussi vkan çuten içarra hayén aitzinean ioaiten cen, haourtchoa cen lekuaren gainera ethorriric gueldi cedino.",Basque
Eta içarra ikussiric bozcario handiz boz citecen haguitz.,Basque
"Eta etchera sarthuric eriden ceçaten haourtchoa bere ama Mariarequin: eta ahozpez adora ceçaten hura, eta bere thesaurac desplegaturic presenta cietzoten estrenác, vrrhe, encensu, eta myrrha.",Basque
"Eta diuinoqui ametsetan aduertitu içanic ezlitecen Herodesgana itzul, berce bidez retira citecen bere comarcarát.",Basque
"Bada hec retiratu eta, huná, Iaunaren Aingueruä aguertzen çayó Iosephi, dioela, Iaiquiric har itzac haourtchoa eta haren ama, eta ihes eguic Egyptera: eta aicén han nic darraqueadano: ecen Herodesec bilhaturen dic haourtchoa hiltzeco.",Basque
"Iosephec bada iratzarri eta, har citzan haourtchoa eta haren ama gauaz, eta retira cedin Egyptera.",Basque
"Eta egon cedin han Herodesen finerano, Iaunac Prophetáz erran çuena compli ledinçát, cioela Egyptetic deithu vkan dut neure Semea.",Basque
"Orduan Herodesec ikussiric nola Çuhurréz enganatu içan cen, asserre cedin haguitz: eta bere gendea igorriric hil citzan Bethlehemen eta haren aldiri gucietan ciraden haour bi vrthetaco eta behereco guciac, Çuhurretaric diligentqui informatu içan cen demboraren araura.",Basque
"Orduan compli cedin Iaunac Hieremias Prophetáz erran vkan çuena, cioela,",Basque
"Voza Rhaman ençun içan da, deithore eta nigar eta auhen handi. Rachel bere haourracgatic nigarrez egon, eta ezta consolatu nahi içan, ceren eztiraden.",Basque
