Text,Language
"விக்கிப்பீடியா (Wikipedia; /ˌwɪkɪˈpiːdiə/ (கேட்க) wik-ih-PEE-dee-ə அல்லது /ˌwɪkiˈpiːdiə/ (கேட்க) wik-ee-PEE-dee-ə) என்பது, வணிக நோக்கற்ற விக்கிமீடியா நிறுவனத்தின் உதவியுடன் நடத்தப்படும், கூட்டாகத் தொகுக்கப்படும், பன்மொழி, கட்டற்ற இணையக் கலைக்களஞ்சியமாகும்.",Tamil
"தமிழ் விக்கிப்பீடியாவின் 1,00,000க்கும் மேற்பட்ட கட்டுரைகளுடன் சேர்த்து இதன் மொத்தக் கட்டுரைகளான 24 மில்லியன் கட்டுரைகளும் உலகெங்கிலுமுள்ள தன்னார்வலர்களால் கூட்டாக எழுதப்படுகின்றன.",Tamil
"பெரும்பாலும் இதன் எல்லாக் கட்டுரைகளும், இதனைப் பயன்படுத்தும் எவராலும், தொகுக்கப்படக் கூடுவன.",Tamil
"[6] மேலும் இது கிட்டத்தட்ட 100,000 முனைப்பான பங்களிப்பாளர்களையும் கொண்டுள்ளது.",Tamil
"[7][8] சனவரி 2021 வரையில், விக்கிப்பீடியா 285 மொழிகளில் செயற்படுகிறது.",Tamil
"இது இணையத்தளத்தில் இயங்கும் உசாத்துணைப் பகுதிகளிலேயே மிகவும் பெரியதும், அதிகப் புகழ்பெற்றதுமாகும்.",Tamil
"[9][10][11][12] மேலும், இது அலெக்சா இணையத்தளத்தில் காணப்படும் இணையத்தளங்களின் தரவரிசையில் ஆறாவது இடத்தில் உள்ளதோடு, உலகளவில் அண்ணளவாக 365 மில்லியன் வாசகர்களையும் கொண்டுள்ளது.",Tamil
"[9][13] விக்கிப்பீடியா, ஜிம்மி வேல்ஸ் மற்றும் லாரி சாங்கர் ஆகியோரால் சனவரி 15, 2001-இல் தொடங்கப்பட்டது.",Tamil
"[14] சாங்கர் அவர்கள், விக்கிப்பீடியா என்ற சொல்லை,[15] விக்கி (ஒருவகை கூட்டாக்க இணையத்தளம்.",Tamil
"இது ஹவாய் மொழியில் ""விரைவு"" எனப் பொருள்படும் விக்கி என்ற சொல்லிலிருந்து பெறப்பட்டது.",Tamil
")[16] மற்றும் பீடியா (கலைக்களஞ்சியத்தின் ஆங்கிலச் சொல்லான என்சைக்ளோபீடியாவிலிருந்து), ஆகிய சொற்களின் இணைப்பாக உருவாக்கினார்.",Tamil
"2006-இல், டைம் சஞ்சிகை, உலகளவில் இணைய மக்கள் கூட்டுப் பங்களிப்பின் விரைவான வளர்ச்சிக்கு, யூடியூப், மைஸ்பேஸ் மற்றும் ஃபேஸ்புக் ஆகியவற்றுக்கு மேலதிகமாக, விக்கிப்பீடியாவினது பங்களிப்பையும் குறிப்பிட்டுள்ளது.",Tamil
"[17] விக்கிப்பீடியா, ஒரு செய்தி ஊடகமாகவும் குறிப்பிடப்படுகிறது.",Tamil
"இதற்குக் காரணம், தலைப்புச் செய்திகள் தொடர்பான கட்டுரைகள் அடிக்கடி இற்றைப்படுத்தப்படுவதேயாகும்.",Tamil
"[18][19][20] விக்கிப்பீடியாவின் திறந்த பாங்கு, பல்வேறு சிக்கல்களையும் உருவாக்கியுள்ளது.",Tamil
"இவற்றுள் கட்டுரைகளின் தரம்,[21] தேவையற்ற தொகுப்புக்கள்[22][23] மற்றும் தகவல்களின் துல்லியத்தன்மை போன்றவற்றைக் குறிப்பிடலாம்.",Tamil
"சில கட்டுரைகள், உறுதிப்படுத்தப்படாத அல்லது முரண்பாடான தகவல்களைக் கொண்டிருந்தாலும்,[24] நேச்சர் இதழ் மூலம் 2005-இல் மேற்கொள்ளப்பட்ட ஆய்வின் மூலம், இதிலுள்ள அறிவியல் கட்டுரைகள், பிரித்தானிக்கா கலைக்களஞ்சியத்தின் கட்டுரைகளைப் போல் துல்லியத்தன்மை கொண்டன எனக் கண்டறியப்பட்டது.",Tamil
"மேலும், இரண்டிலும் தலைமையான தவறுகள் ஒரேயளவினதாய் இருந்தன.",Tamil
"[25] இதற்குப் பதிலளிக்குமுகமாக, பிரிட்டானிக்கா, இந்த ஆய்வின் வழிமுறைகள் மற்றும் முடிவுகளில் தவறுகள் உள்ளதாகத் தெரிவித்தது.",Tamil
"[26] எனினும் இதனை மறுத்துரைத்த நேச்சர், தனது தரப்பில் இதற்கான முறையான அறிக்கையையும், பிரிட்டானிக்காவின் தலைமையான மறுப்புக்களுக்கான எதிர் வாதங்களையும் வெளியிட்டது.",Tamil
[27][28] யாரும் இலகுவில் வேகமாக இணையத்தொடர்பையும் உலாவியையும் மட்டும் பயன்படுத்தித் தொகுக்கக்கூடியவாறு இத்திட்டம் அமைந்துள்ளது.,Tamil
"""அனைத்து மனித அறிவும், கட்டற்ற முறையில் மொழிகளைக் கடந்து, எல்லோருக்கும் கிடைக்கவேண்டும்” என்பதே விக்கிப்பீடியாவின் உயரிய நோக்கமாகும்.",Tamil
"இத்திட்டம் இலாப நோக்கமற்றது; பக்கச் சார்பற்றது; நடுநிலைமையை வலியுறுத்துவது; இதன் நுட்பக் கட்டமைப்பும், கட்டற்ற திறந்த வழியில் ஆக்கப்பட்டு உபயோகிக்கப்படுகின்றது.",Tamil
"விக்கிப்பீடியாவிற்கு முன்னதான வேறு சில இணையத்தில், கூட்டு கலைக்களஞ்சிய உருவாக்கத்திற்கான முயற்சிகள் இருந்தபோதிலும், அவை வெற்றியடையவில்லை.",Tamil
"[29] முதலில் 2000 ஆம் ஆண்டு மார்ச் மாதம் 'போமிஸ்' (en:Bomis) வலைப்பக்க நிறுவனத்தால், நுபீடியா ஆரம்பிக்கப்பட்டது.",Tamil
"அதன் நோக்கம், நுபீடியாவை, ஓர் இலவச இணையத்தள ஆங்கில மொழிக் கலைக்களஞ்சியத் திட்டமாகவும் அமைப்பதாக இருந்தது.",Tamil
"நிபுணர்களால் எழுதப்பட்ட கட்டுரைகளை, வழக்கப்படியான செய்முறைப்படி பரிசீலித்து வெளியிடுவதாகவே இத்திட்டம் அமைந்திருந்தது.",Tamil
"[30] போமிஸ் நிறுவனத்திற்குச் சொந்தமான நுபீடியாவின் முக்கிய நபர்களாக,  முதன்மைச் செயலதிகாரியான ஜிம்மி வேல்ஸ் உம் லாரி சாங்கர் உம் இருந்தார்கள்.",Tamil
"[31][32] லாரி சாங்கர், முதலில் நுபீடியாவிற்கும், பின்னர் விக்கிப்பீடியாவிற்கும் தலைமை ஆசிரியராகப் பணியாற்றியவர் ஆவார்.",Tamil
"நுபீடியாவிற்கு, இணைய விளம்பர நிறுவனமான 'போமிஸ்', நிதி வழங்கியது.",Tamil
"ஆரம்ப காலத்தில், நுபீடியாவிற்கு, அதன் சொந்த நுபீடியா மூலம் திறந்த உள்ளடக்க உரிமம் வழங்கப்பட்டது.",Tamil
"பின்னர், ரிச்சர்ட் ஸ்டால்மன் அவர்களின் தூண்டுதலால், நுபீடியாவானது, விக்கிப்பீடியாவாக மாற்றமடையும் முன்னரே குனூ தளையறு ஆவண உரிமத்திற்கு மாற்றப்பட்டது.",Tamil
[33] லாரி சாங்கர் மற்றும் ஜிம்மி வேல்ஸ் இருவருமே விக்கிப்பீடியாவின் நிறுவனர்கள் ஆவர்.,Tamil
[31][32] 'பொதுவில் பதிப்பிடக்கூடிய கலைக்களஞ்சியம்' என்ற குறிக்கோளை வரையறை செய்த பெருமை[34][35] வேல்ஸையே சாரும்.,Tamil
"திறமூல விக்கியை வைத்து அந்தக் குறிக்கோளை அடையச் செய்த, திட்டவடிவம் கொடுத்த பெருமை, சாங்கரையேச் சாரும்.",Tamil
"[36] ஜனவரி 10, 2001 அன்று விக்கித் தொழில்நுட்பத்தை, நுபீடியாவிற்கு ஆதாரம் கொடுக்கும் திட்டமாக ஆக்க, லாரி சாங்கர், நுபீடியாவின் மின்னஞ்சல் பட்டியலூடாக ஒரு பரிந்துரை கொடுத்தார்.",Tamil
"[37] ஜனவரி 12, 2001,[38] ஜனவரி 13, 2001[39] இல் முறையே விக்கிப்பீடியா.கொம், விக்கிப்பீடியா.ஓர்க் ஆகிய ஆள்களப் பெயர்கள் பதிவு செய்யப்பட்டன.",Tamil
"ஜனவரி 15, 2001 அன்று சம்பிரதாயத்துக்காக விக்கிப்பீடியா அறிமுகப்படுத்தப்பட்டது.",Tamil
[30] அது ஒரு தனிப்பட்ட ஆங்கில மொழிப் பதிப்பாக விக்கிப்பீடியா.காம் .,Tamil
"[40] என்ற பெயரில் வெளியிடப்பட்டு, நுபீடியா மின்னஞ்சல் பட்டியலில் லாரி சாங்கரால் அறிவிக்கப்பட்டது.",Tamil
"[34] விக்கிப்பீடியா ஆரம்பித்து சில மாதங்களில், 'நடுநிலைமை', ஒரு கொள்கையாக முன்னிறுத்தப்பட்டது.",Tamil
"[41] இது நுபீடியாவின் முந்தைய ""மனச்சார்பு இல்லாத"" கொள்கைக்கு இணையானது.",Tamil
"தவிர, ஆரம்பத்தில் வேறு சில விதிமுறைகள் மட்டுமே விக்கிப்பீடியாவில் இருந்ததுடன், விக்கிப்பீடியாவானது, நுபீடியாவிலிருந்து தனித்து, சுயாதீனமாக இயங்கத் தொடங்கியது.",Tamil
"[34] ஆரம்பத்தில், போமிஸ், இதனை ஒரு வணிக ரீதியில் ஆதாயம் கிடைக்கும்படியான திட்டமாகச் செய்யவே நினைத்திருந்தது.",Tamil
"[42] விக்கிப்பீடியாவின் ஆரம்ப காலத்தில், நுபீடியா, ஸ்லாஷ்டாட் (en:Slashdot) பதிவுகள், வலை தேடு பொறி குறியீட்டு ஆக்கங்கள் போன்றவற்றிலிருந்து பங்களிப்புகளைப் பெற்றுக் கொண்டது.",Tamil
"பின்னர் வெவ்வேறு மொழிகளில் விக்கிப்பீடியா உருவாக்கப்பட்டு, 2001 ஆம் ஆண்டின் முடிவில் கிட்டத்தட்ட 20,000 கட்டுரைகளுடன் 18 மொழிகளில் வளர்ந்தது.",Tamil
"2002 ஆம் ஆண்டின் பிற்பகுதியில் 26 மொழிகளிலும், 2003 ஆம் ஆண்டு முடிவில் 46 மொழிகளிலும் வளர்ந்த விக்கிப்பீடியா, 2004 ஆம் ஆண்டின் முடிவில் 161 மொழிகளில் இயங்கும் கலைக்களஞ்சியமாக உயர்ந்தது.",Tamil
