Text,Language
Alguses lõi Jumal taevad ja maa.,Estonian
Ja maa oli tühi ja paljas ja pimedus oli sügavuse peal ja Jumala Vaim hõljus vete kohal.,Estonian
Ja Jumal ütles: „Saagu valgus!” Ja valgus sai.,Estonian
"Ja Jumal nägi, et valgus oli hea, ja Jumal lahutas valguse pimedusest.",Estonian
"Ja Jumal nimetas valguse päevaks ja pimeduse ta nimetas ööks. Siis sai õhtu ja sai hommik, — esimene päev.",Estonian
Ja Jumal ütles: „Saagu laotus vete vahele ja see lahutagu veed vetest!”,Estonian
"Ja nõnda sündis: Jumal tegi laotuse ja lahutas veed, mis laotuse all, vetest, mis laotuse peal olid.",Estonian
"Ja Jumal nimetas laotuse taevaks. Siis sai õhtu ja sai hommik, — teine päev.",Estonian
"Ja Jumal ütles: „Veed kogunegu taeva all ühte paika, et kuiva näha oleks!” Ja nõnda sündis.",Estonian
"Ja Jumal nimetas kuiva pinna maaks ja veekogu Ta nimetas mereks. Ja Jumal nägi, et see hea oli.",Estonian
"Ja Jumal ütles: „Maast tärgaku haljas rohi, seemet kandvad taimed, viljapuud, mille viljas nende seeme on, nende liikide järgi maa peale!” Ja nõnda sündis:",Estonian
"maa laskis võrsuda haljast rohtu, seemet kandvaid taimi nende liikide järgi, ja viljapuid, mille viljas nende seeme on, nende liikide järgi. Ja Jumal nägi, et see hea oli.",Estonian
"Siis sai õhtu ja sai hommik, — kolmas päev.",Estonian
"Ja Jumal ütles: „Saagu valgused taevalaotusse eraldama päeva ööst! Tähistagu need seatud aegu, päevi ja aastaid,",Estonian
"olgu nad valgusteks taevalaotuses, valgustuseks maale!” Ja nõnda sündis:",Estonian
"Jumal tegi kaks suurt valgust: suurema valguse valitsema päeval ja väiksema valguse valitsema öösel, ning tähed.",Estonian
"Ja Jumal pani need taevalaotusse, et nad valgustaksid maad",Estonian
"ja valitseksid päeval ja öösel ja eraldaksid valguse pimedusest. Ja Jumal nägi, et see hea oli.",Estonian
"Siis sai õhtu ja sai hommik, — neljas päev.",Estonian
