Text,Language
Nature  är en framstående brittisk vetenskaplig veckotidskrift som började utges 4 november 1869 och grundades av Norman Lockyer.,Swedish
Den är världens mest citerade interdisciplinära vetenskapliga tidskrift.,Swedish
[3] Fler än 1 700 artiklar har över åren författats av drygt 275 nobelpristagare.,Swedish
[1] De flesta vetenskapliga tidskrifter är numera högt specialiserade men Nature är bland ett fåtal tidskrifter (veckotidskrifterna Science and Proceedings of the National Academy of Sciences är också framstående exempel) som fortfarande publicerar originalartiklar inom ett brett spektrum av vetenskapliga områden.,Swedish
Det är många vetenskapliga områden inom vilka viktiga nya framsteg publiceras antingen i artikelform eller som brev i Nature.,Swedish
Wikipedia (svenskt uttal: [vɪkɪ'peːdɪa]) är en wiki och en mångspråkig webbaserad encyklopedi.,Swedish
"Den har i huvudsak fritt och öppet innehåll som utvecklas av sina användare, ofta benämnda wikipedianer.",Swedish
[2] Den består till stor del av referat av källor skrivna av experter.,Swedish
"Wikipedia lanserades den 15 januari 2001 av Jimmy Wales och Larry Sanger, ursprungligen i en engelskspråkig version, och är det mest besökta uppslagsverket på internet.",Swedish
Svenskspråkiga Wikipedia startades den 23 maj 2001.,Swedish
Wikipedia är (2020) rankad som världens trettonde och Sveriges åttonde mest besökta webbplats enligt Alexa.,Swedish
[1] Wikipedia drivs av den icke-vinstinriktade stiftelsen Wikimedia Foundation med stöd av privata donatorer.,Swedish
"Projektet bygger på wikiprogramvaran Mediawiki, som är uteslutande fri och har öppen källkod.",Swedish
"Wikipedia grundades 15 januari 2001 av internetentreprenören Jimmy Wales och filosofen Larry Sanger, båda knutna till Wales internetföretag Bomis.",Swedish
"De hade under år 2000 försökt starta uppslagsverket Nupedia, vilket dock begränsades av strikta krav på skribenterna.",Swedish
"[3] Genom att använda wikitekniken, det vill säga en sökbar webbplats där sidorna enkelt och snabbt kan redigeras av besökarna, lyckades man få igång skrivandet.",Swedish
"Wikipedia var från början enbart engelskspråkigt, men 15 mars 2001 togs initiativet till flera språk.",Swedish
"[4] Först ut var tyska,[5] tätt följt av katalanska och japanska.",Swedish
Dessa tre var i gång före utgången av mars.,Swedish
Den 11 maj 2001 lades ytterligare nio stora språk till.,Swedish
[6] Före utgången av 2001 fanns Wikipedia på 18 språk.,Swedish
"Engelskspråkiga Wikipedia har hela tiden varit störst och hade i december 2019 5,9 miljoner artiklar.",Swedish
Den första redigeringen gjordes av Bomis kontorskonto den 15 januari 2001 klockan 20:27 på sidan HomePage som då var namnet på förstasidan.,Swedish
"Klockan 20:52 skapades den första artikeln, WikiPedia, av samma användare.",Swedish
"Namnet ""wikipedia"" myntades av Larry Sanger[7] och är en sammanslagning av wiki, som är hawaiiska och betyder snabb[8] och encyclopedia, från grekiskans enkyklios paideia, ordagrant ""rundad bildning"" eller ""kunskaper som formar en krets"", i betydelsen ""allmänbildning"".[9].",Swedish
"Svenska var det andra mindre språket (efter katalanska) som fick en egen Wikipedia, och första redigeringen gjordes 23 maj 2001 av Linus Tolke.",Swedish
[10] Den äldsta bevarade startsidan[11] för Svenskspråkiga Wikipedia är från 10 juli 2001.,Swedish
Svenskspråkiga Wikipedia var dock i stort sett inaktiv till november 2002.,Swedish
Wikipedia finns idag tillgänglig på 317[12] olika språk.,Swedish
"269 språkversioner hade i september 2020 över ettusen artiklar, och 30 språk hade då fler än en miljon artiklar.",Swedish
"[13] Den engelskspråkiga versionen är störst, idag med 6 238 145 artiklar, 998 856 599 redigeringar sedan start och 141 020 aktiva bidragsgivare under den senaste månaden.",Swedish
"[12] Därefter följde i september 2020 de cebuanospråkiga, svenskspråkiga, tyska, franska och nederländska versionerna, ordnade i storlek efter antal riktiga artiklar.",Swedish
"[13] Totalt innehåller Wikipedias olika språkversioner just nu 228 586 156 artiklar, och den svenskspråkiga versionen har 3 431 103 artiklar.",Swedish
"[12][a] Svenskspråkiga Wikipedia innefattar emellertid en stor andel (3,1 miljoner eller 81 procent, noterat januari 2019[14]) robotskapade artiklar och var i september 2020 bara på fjortonde plats sett till antal redigeringar sedan start och på tjugonde plats sett till antal aktiva inloggade bidragsgivare under senaste månaden.",Swedish
"[13] Även cebuanospråkiga Wikipedia innefattar en mycket stor andel (5,3 miljoner eller 99,6 procent) robotskapade artiklar.",Swedish
"[14] De flesta robotskapade artiklar har skapats av svenska Lsjbot, och handlar om djur eller ortnamn.",Swedish
"[15] Många studenter, journalister, författare, forskare, med flera yrkeskategorier, hämtar dagligen uppgifter från Wikipedia, där snabbheten är en stor fördel jämfört med att leta i litteratur och forskningsartiklar.",Swedish
Sökmotorer som Google leder ofta till Wikipedia och driver webbtrafik till Wikipedia.,Swedish
Wikipediaartiklar anses emellertid främst användbara för att hitta andra mer auktoritativa källor snarare än som informationskälla till egna publikationer.,Swedish
"[16] En svensk undersökning visade 2019 att 83 procent av de svenska internetanvändarna använde Wikipedia, varav tio procent gjorde det varje dag.",Swedish
Bland de som studerar använde 94 procent Wikipedia för att söka information.,Swedish
[17] Samma undersökning visade 2018 att i åldersgruppen upp till 45 år använde 90 procent Wikipedia.,Swedish
Det var fler män än kvinnor som använde Wikipedia varje vecka: 45 procent män och 33 procent kvinnor.,Swedish
"[18][19] Det finns ämnesorienterade Wikipediasidor som exemplifierar hur Wikipedia kan användas av släktforskare, av lärare och av vandrare.",Swedish
"Det är vanligt förekommande att lärare, i synnerhet på universitetsnivå, avråder studenter från att använda Wikipedia som källa och istället rekommenderar att man går till de mer auktoritativa källor som i sin tur anges i många Wikipediaartiklar, därför att studenten med sitt val av källor ska bevisa uppsatsens akademiska nivå och vetenskapliga aktualitet.",Swedish
Även Wikipedia rekommenderar att man använder verket för att hitta källor hellre än att uppge Wikipedia som källa.,Swedish
"Andra lärare accepterar enstaka hänvisningar till Wikipedia eller andra uppslagsverk, om andra källor inte kan hittas, under förutsättning att längre uppsatser och examensrapporter inte i sin helhet är baserade på detta, utan grundas på forskningspublikationer, akademiska läroböcker och på studentens egna undersökning.",Swedish
Wikipedia förekommer i princip aldrig i källhänvisningar i forskningspublikationer.,Swedish
"Det förekommer att artiklar på Wikipedia listas bland kurslitteraturen för högskolekurser, bland annat i Sverige 2007, då dock med varnande noter för användning med viss försiktighet.",Swedish
"[20] Forskare kan få fler forskningsciteringar om begrepp som de har myntat och teorier som de har lanserat refereras på Wikipedia, enligt nedan.",Swedish
Wikipediaartiklar har mycket varierande kvalitet.,Swedish
"Wikipediaartiklars trovärdighet vilar mycket på dess källor och på att ett stort antal personer bevakar, granskar och bidrar till artiklarna, medan andra uppslagsverk vilar på att dess författare är experter som anses vara auktoriteter på sina områden.",Swedish
"En Wikipediaartikels tillförlitlighet kan bedömas bland annat genom att studera artikelns historik, som framgår av forskningsresultat nedan.",Swedish
"En Wikipediaartikel som stämmer in på följande påståenden har således sannolikt hög trovärdighet: Dessa kriterier gör att den engelska språkversionen av Wikipedia (som har flest skribenter, flest artiklar och i allmänhet längre artiklar förutom om svenska förhållanden) bör ha fler trovärdiga artiklar än den svenska.",Swedish
Detta är också en vanlig uppfattning bland svenska läsare.,Swedish
[21] Också vanliga kriterier för källkritik kan tillämpas på Wikipediaartiklar.,Swedish
"Det är tillåtet att direkt kopiera stora delar av artiklarna eller enstaka bilder till en egen publikation, förutsatt att man publicerar den under samma licens som Wikipedia, CC BY-SA (en bild kan ligga under annan öppen licens), och anger källa till artikeln så som licensen kräver.",Swedish
"Publicerar man inte under fri licens krävs att man kommer överens med upphovspersonerna, exempelvis med en fotograf, om ersättning.",Swedish
Referat av och korta citat från Wikipedia är tillåtna enligt citaträtten som från vilken som helst annan källa.,Swedish
"Eftersom Wikipedia bygger på tidskriftsartiklar, forskningspublikationer och böcker finns risk för rundgång av felaktiga uppgifter, om professionella författare och skribenter slarvar med att uppge källa då de hämtar uppgifter från Wikipedia.",Swedish
"Källhänvisning till Wikipedia måste vara tillräckligt exakt, så att läsare själv kan hitta artikeln och se artikelns författare i artikelhistoriken.",Swedish
"Accessdatum är viktigt, eftersom Wikipediaartiklar förändras.",Swedish
Källförteckningens källbeskrivning kan exempelvis utformas enligt följande om man använder Harvardsystemet som referenssystem:[22] Vid IEEE- och Vancouversystemet kan källbeskrivning formateras enligt följande (om källan är nummer 2 i källförteckningen): Enligt Oxfordsystemet kan samma källbeskrivning utformas: Alla versioner av sidorna på Wikipedia sparas.,Swedish
Därmed är det möjligt att länka till just den version av en artikel man använt.,Swedish
En länk till arkivversionen tillhandahålls i artiklarnas vänstermarginal.,Swedish
Den funktionsprincip som ligger till grund för projektet kallas wiki (hawaiiska för snabbt).,Swedish
"Wikiprincipen avser att det går snabbt att hitta artiklar, att det är enkelt att ändra och länka samman artiklar, att publiceringen inte fördröjs av redaktionell granskning och godkännande samt att det går snabbt att återställa ändringar till en tidigare version av artikeln.",Swedish
"En wiki är en webbserver och databasserver som möjliggör för ett stort antal människor att tillsammans redigera webbsidor via webbgränssnitt, och innefattar funktioner för artikelhistorik och versionshantering.",Swedish
En wiki har således stora likheter med ett webbpubliceringssystem.,Swedish
"Viktiga skillnader är att i en wiki lagras sidorna i en icke-hierarkisk struktur, vilket underlättar sökning och länkning, samt att wikier traditionellt har saknat funktioner för att hantera linjeorganisationens arbetsflöden och beslutsgång för godkännande av publicering.",Swedish
Wikipedia använder sig av den fria wikiprogramvaran MediaWiki som är licensierad under GNU General Public License (GPL).,Swedish
"Från början använde Wikipedia en annan wikiprogramvara, UseModWiki, som också är licensierad under GPL.",Swedish
