Text,Language
"Jēzus Kristus, Dāvida dēla, Ābrahama dēla, cilts grāmata.",Latvian
Ābrahams dzemdināja Īzāku. Un Īzāks dzemdināja Jēkabu. Jēkabs dzemdināja Jūdu un viņa brāļus.,Latvian
Jūda dzemdināja Faresu un Zāru no Tamāras; Faress dzemdināja Esronu; Esrons dzemdināja Aramu;,Latvian
Arams dzemdināja Aminadabu; un Aminadabs dzemdināja Nāsonu; Nāsons dzemdināja Salmonu;,Latvian
Salmons dzemdināja Boozu no Rahabas; Boozs dzemdināja Obedu no Rutes; Obeds dzemdināja Jesi; Jese dzemdināja ķēniņu Dāvidu;,Latvian
"Ķēniņš Dāvids dzemdināja Salomonu no tās, kas bija Ūrija;",Latvian
Salomons dzemdināja Roboamu; Roboams dzemdināja Abiju; Abijs dzemdināja Azu;,Latvian
Azs dzemdināja Jozafatu; Jozafats dzemdināja Joramu; Jorams dzemdināja Oziju;,Latvian
Ozijs dzemdināja Joatamu; Joatams dzemdināja Ahazu; Ahazs dzemdināja Ezehiju;,Latvian
Un Ezehijs dzemdināja Manasu; Manass dzemdināja Amonu; Amons dzemdināja Josiju;,Latvian
Josijs dzemdināja Jehoniju un viņa brāļus Babilonas verdzībā.,Latvian
Pēc Babilonas verdzības Jehonijs dzemdināja Salatiēlu; Salatiēls dzemdināja Zorobabelu;,Latvian
Zorobabels dzemdināja Abiudu; Abiuds dzemdināja Eliakimu; Eliakims dzemdināja Azoru;,Latvian
Azors dzemdināja Sadoku; Sadoks dzemdināja Ahimu; un Ahims dzemdināja Eliudu;,Latvian
Un Eliuds dzemdināja Eleazaru; un Eleazars dzemdināja Matanu; un Matans dzemdināja Jēkabu;,Latvian
"Bet Jēkabs dzemdināja Jāzepu, Marijas vīru, no kuras dzimis Jēzus, kas top saukts Kristus.",Latvian
Visas paaudzes tātad no Ābrahama līdz Dāvidam ir četrpadsmit paaudzes; un no Dāvida līdz Babilonas verdzībai ir četrpadsmit paaudzes; un no Babilonas verdzības līdz Kristum četrpadsmit paaudzes.,Latvian
"Bet ar Kristus dzimšanu bija tā: kad Viņa māte Marija tika saderināta ar Jāzepu, iekams viņi sagāja kopā, izrādījās, ka viņa savās miesās ieņēmusi no Svētā Gara.",Latvian
"Bet Jāzeps, viņas vīrs, būdams taisnīgs un negribēdams viņai neslavu celt, gribēja viņu slepeni atstāt.",Latvian
"Bet kamēr viņš par to domāja, lūk, Kunga eņģelis parādījās viņam sapnī, sacīdams: Jāzep, Dāvida dēls, nebīsties pieņemt savu sievu Mariju, jo kas viņā iedzimis, ir no Svētā Gara.",Latvian
"Viņa dzemdēs Dēlu, un tu nosauksi Viņu vārdā Jēzus, jo Viņš atpestīs savu tautu no tās grēkiem.",Latvian
"Bet tas viss ir noticis, lai piepildītos, ko Kungs runājis caur pravieti, kas saka:",Latvian
"Lūk, jaunava ieņems savās miesās un dzemdēs Dēlu, un nosauks Viņu vārdā Emanuēls, kas ir tulkots: Dievs ar mums.",Latvian
"Bet Jāzeps, uzmodies no miega, darīja tā, kā Kunga eņģelis bija viņam pavēlējis, un pieņēma savu sievu.",Latvian
"Un viņš to neatzina, kamēr viņa dzemdēja savu pirmdzimto Dēlu, nosaucot Viņu vārdā Jēzus.",Latvian
"Kad Jēzus ķēniņa Heroda laikā bija dzimis jūdu Betlēmē, gudrie no austrumiem aizgāja uz Jeruzalemi,",Latvian
Sacīdami: Kur ir piedzimušais jūdu Ķēniņš? Jo mēs redzējām Viņa zvaigzni austrumos un atnācām Viņu pielūgt.,Latvian
"Ķēniņš Herods, izdzirdis to, izbijās, un visa Jeruzaleme līdz ar viņu.",Latvian
"Un viņš, sapulcinājis visus augstos priesterus un tautas rakstu mācītājus, iztaujāja tos, kur Kristum bija jāpiedzimst.",Latvian
"Un viņi tam sacīja: Jūdu Betlēmē, jo tā pravietis rakstījis:",Latvian
"Un tu, Betlēme, jūdu zeme, necik neesi mazāka par Jūdas lielpilsētām, jo no tevis izies Vadonis, kas valdīs pār manu Izraēļa tautu.",Latvian
"Tad Herods, slepeni pieaicinājis gudros, rūpīgi iztaujāja viņus par zvaigznes laiku, kas bija parādījusies tiem.",Latvian
"Un, sūtīdams viņus uz Betlēmi, sacīja: Ejiet un rūpīgi iztaujājiet par Bērnu, un, kad jūs atradīsiet, ziņojiet man, lai arī es aizgājis pielūdzu Viņu!",Latvian
"Šie, uzklausījuši ķēniņu, aizgāja. Un, lūk, zvaigzne, ko viņi redzēja austrumos, gāja tiem pa priekšu, līdz atnākusi apstājās augšā, kur atradās Bērns.",Latvian
"Bet viņi, ieraudzījuši zvaigzni, priecājās lielā priekā.",Latvian
"Un tie, iegājuši mājā, atrada Bērnu un Viņa māti Mariju; un Viņu, zemē nometušies, pielūdza; un tie, atvēruši savas mantas, upurēja Viņam zeltu, vīraku un mirres.",Latvian
"Un viņi, sapnī saņēmuši atbildi neatgriezties pie Heroda, pa citu ceļu aizgāja savā zemē.",Latvian
