organization_code,organization,country_code,country,accession,withdrawal
AL,Arab League,DZA,Algeria,,
AL,Arab League,BHR,Bahrain,,
AL,Arab League,COM,Comoros,,
AL,Arab League,DJI,Djibouti,,
AL,Arab League,EGY,Egypt,,
AL,Arab League,IRQ,Iraq,,
AL,Arab League,JOR,Jordan,,
AL,Arab League,KWT,Kuwait,,
AL,Arab League,LBN,Lebanon,,
AL,Arab League,LBY,Libya,,
AL,Arab League,MRT,Mauritania,,
AL,Arab League,MAR,Morocco,,
AL,Arab League,OMN,Oman,,
AL,Arab League,PSE,Palestine,,
AL,Arab League,QAT,Qatar,,
AL,Arab League,SAU,Saudi Arabia,,
AL,Arab League,SOM,Somalia,,
AL,Arab League,SDN,Sudan,,
AL,Arab League,SYR,Syria,,
AL,Arab League,TUN,Tunisia,,
AL,Arab League,ARE,United Arab Emirates,,
AL,Arab League,YEM,Yemen,,
APEC,Asia-Pacific Economic Cooperation,AUS,Australia,,
APEC,Asia-Pacific Economic Cooperation,BRN,Brunei,,
APEC,Asia-Pacific Economic Cooperation,CAN,Canada,,
APEC,Asia-Pacific Economic Cooperation,CHL,Chile,,
APEC,Asia-Pacific Economic Cooperation,CHN,China,,
APEC,Asia-Pacific Economic Cooperation,HKG,Hong Kong,,
APEC,Asia-Pacific Economic Cooperation,IDN,Indonesia,,
APEC,Asia-Pacific Economic Cooperation,JPN,Japan,,
APEC,Asia-Pacific Economic Cooperation,MYS,Malaysia,,
APEC,Asia-Pacific Economic Cooperation,MEX,Mexico,,
APEC,Asia-Pacific Economic Cooperation,NZL,New Zealand,,
APEC,Asia-Pacific Economic Cooperation,PNG,Papua New Guinea,,
APEC,Asia-Pacific Economic Cooperation,PER,Peru,,
APEC,Asia-Pacific Economic Cooperation,PHL,Philippines,,
APEC,Asia-Pacific Economic Cooperation,RUS,Russia,,
APEC,Asia-Pacific Economic Cooperation,SGP,Singapore,,
APEC,Asia-Pacific Economic Cooperation,KOR,South Korea,,
APEC,Asia-Pacific Economic Cooperation,TWN,Taiwan,,
APEC,Asia-Pacific Economic Cooperation,THA,Thailand,,
APEC,Asia-Pacific Economic Cooperation,USA,United States,,
APEC,Asia-Pacific Economic Cooperation,VNM,Vietnam,,
ASEAN,Association of Southeast Asian Nations,BRN,Brunei,,
ASEAN,Association of Southeast Asian Nations,KHM,Cambodia,,
ASEAN,Association of Southeast Asian Nations,IDN,Indonesia,,
ASEAN,Association of Southeast Asian Nations,LAO,Laos,,
ASEAN,Association of Southeast Asian Nations,MYS,Malaysia,,
ASEAN,Association of Southeast Asian Nations,MMR,Myanmar,,
ASEAN,Association of Southeast Asian Nations,PHL,Philippines,,
ASEAN,Association of Southeast Asian Nations,SGP,Singapore,,
ASEAN,Association of Southeast Asian Nations,THA,Thailand,,
ASEAN,Association of Southeast Asian Nations,VNM,Vietnam,,
AU,African Union,DZA,Algeria,,
AU,African Union,AGO,Angola,,
AU,African Union,BEN,Benin,,
AU,African Union,BWA,Botswana,,
AU,African Union,BFA,Burkina Faso,,
AU,African Union,BDI,Burundi,,
