symbol,displayName,industry,dateListed,marketCap,xid,priceChangeFiveDayPercent,isRecentListing
AEI,AERIS ENVIRONMENTAL LTD,Commercial & Professional Services,2000-09-12,10317071,39459,17.647058823529406,False
AIS,AERIS RESOURCES LIMITED,Materials,2011-02-02,418022085,29002327,22.33009708737864,False
AE1,AERISON GROUP LTD,Capital Goods,2021-07-12,42046873,660693415,4.0000000000000036,False
AMX,AEROMETREX LIMITED,Commercial & Professional Services,2019-12-10,31215415,566027169,0.0,False
AFL,AF LEGAL GROUP LTD,Commercial & Professional Services,2003-09-19,11784213,209421,7.142857142857129,False
A1G,AFRICAN GOLD LTD.,Materials,2019-02-14,11343851,511307838,-9.45945945945945,False
AFP,AFT PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2015-12-22,335572032,321649575,0.0,False
AGL,AGL ENERGY LIMITED.,Utilities,2006-10-12,5173426222,5778716,10.070921985815604,False
AMN,AGRIMIN LIMITED,Materials,2007-10-09,74971646,8674068,-7.9999999999999964,False
AGR,AGUIA RESOURCES LIMITED,Materials,2008-02-13,21692713,10316346,-22.033898305084744,False
AIM,AI-MEDIA TECHNOLOGIES LIMITED,Commercial & Professional Services,2020-09-15,66639722,614419228,-1.5873015873015888,False
A1M,AIC MINES LIMITED,Materials,1993-11-04,189760169,215251,9.210526315789481,False
APW,AIMS PROPERTY SECURITIES FUND,Equity Real Estate Investment Trusts (REITs),2004-12-17,53422900,204573,0.0,False
AGI,AINSWORTH GAME TECHNOLOGY LIMITED,Consumer Services,2001-12-17,328374081,40562,0.7575757575757639,False
AIZ,AIR NEW ZEALAND LIMITED,Transportation,1997-10-01,2391609664,41981,2.8368794326241162,False
ART,AIRTASKER LIMITED,Media & Entertainment,2021-03-23,101151404,643303451,-1.0638297872340317,False
AJL,AJ LUCAS GROUP LIMITED,Capital Goods,1999-08-10,34393241,42120,-12.00000000000001,False
AKO,AKORA RESOURCES LIMITED,Materials,2020-12-15,12633287,626689880,22.413793103448295,False
AUQ,ALARA RESOURCES LIMITED,Materials,2007-05-24,26569239,7299505,5.8823529411764754,False
ALB,ALBION RESOURCES LIMITED,Materials,2021-04-30,5025533,651050027,1.2987012987012998,False
ALY,ALCHEMY RESOURCES LIMITED,Materials,2007-11-26,16493068,8800757,-7.142857142857137,False
ALC,ALCIDION GROUP LIMITED,Health Care Equipment & Services,2011-06-24,164848977,34266634,-7.692307692307699,False
AL8,ALDERAN RESOURCES LIMITED,Materials,2017-06-09,4047863,413306903,14.285714285714286,False
ARN,ALDORO RESOURCES LIMITED,Materials,2018-09-13,22582463,478309439,-14.285714285714286,False
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,Materials,1999-12-22,11619487,102592,5.8823529411764754,False
AQI,ALICANTO MINERALS LIMITED,Materials,2012-09-19,15617477,47926319,-11.36363636363636,False
AQX,ALICE QUEEN LIMITED,Materials,2004-09-09,3795431,27872356,0.0,False
ALK,ALKANE RESOURCES LIMITED,Materials,1980-10-07,434124629,43190,-2.758620689655175,False
AHQ,ALLEGIANCE COAL LIMITED,Materials,2012-05-29,SUSPENDED,44567894,0.0,False
AMT,ALLEGRA ORTHOPAEDICS LIMITED,Health Care Equipment & Services,2007-12-05,5745256,9222812,0.0,False
AQZ,ALLIANCE AVIATION SERVICES LIMITED,Transportation,2011-12-20,549712664,40437705,-0.29069767441859845,False
AXN,ALLIANCE NICKEL LIMITED,Materials,1980-08-21,64250628,139906,6.3829787234042605,False
AGE,ALLIGATOR ENERGY LIMITED,Energy,2011-02-03,102441074,29717099,20.000000000000018,False
AKE,ALLKEM LIMITED,Materials,2007-12-04,6465852992,9202583,12.159533073929962,False
ALO,ALLOGGIO GROUP LIMITED,Consumer Services,2021-11-29,55200756,687332183,44.736842105263165,False
APS,ALLUP SILICA LIMITED,Materials,2022-05-02,4310095,695836819,1.3605674321386724e-14,False
ALM,ALMA METALS LIMITED,Energy,2007-04-18,12796011,6932183,7.6923076923077,False
AII,ALMONTY INDUSTRIES INC.,Materials,2021-08-02,152715348,663784929,-2.777777777777765,False
A4N,ALPHA HPA LIMITED,Materials,2007-10-22,660452931,8375741,10.769230769230761,False
ALQ,ALS LIMITED,Commercial & Professional Services,1952-07-18,5548561659,79955,1.5831134564643932,False
AZI,ALTAMIN LIMITED,Materials,2009-12-24,28987040,21808790,-15.789473684210524,False
ATC,ALTECH BATTERIES LTD,Materials,2010-01-27,111287738,21200114,1.9230769230769247,False
ATH,ALTERITY THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2000-03-28,17079283,225892,-12.5,False
AIQ,ALTERNATIVE INVESTMENT TRUST,Not Applic,2005-05-08,42743592,5304916,0.0,False
1AG,ALTERRA LIMITED,"Food, Beverage & Tobacco",2008-05-16,7662078,11027185,9.090909090909099,False
AGH,ALTHEA GROUP HOLDINGS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2018-09-21,18068949,490229928,4.0000000000000036,False
ALU,ALTIUM LIMITED,Software & Services,1999-08-04,4924917974,43782,0.808625336927216,False
AME,ALTO METALS LIMITED,Materials,2012-12-20,40445822,50454234,-1.5151515151515165,False
AWC,ALUMINA LIMITED,Materials,1961-10-31,4134896019,55552,0.7017543859649129,False
ALV,ALVO MINERALS LIMITED,Materials,2021-10-20,10560396,673648174,-9.375000000000009,False
AMA,AMA GROUP LIMITED,Commercial & Professional Services,2006-08-31,252171501,5332673,-2.1276595744680753,False
3DA,AMAERO INTERNATIONAL LTD,Capital Goods,2019-12-06,45700623,565626045,-19.230769230769237,False
ANL,AMANI GOLD LIMITED,Materials,2006-12-14,24693441,5937547,0.0,False
AMO,AMBERTECH LIMITED,Technology Hardware & Equipment,2004-12-10,23279955,44776,-3.8461538461538494,False
AMH,AMCIL LIMITED,Not Applic,2000-02-10,308768341,44535,-1.5306122448979607,False
AMC,AMCOR PLC,Materials,1969-08-28,24446608096,44210,1.3505217925107578,False
ARR,AMERICAN RARE EARTHS LIMITED,Materials,2011-02-17,96423372,27209221,2.380952380952383,False
AW1,AMERICAN WEST METALS LIMITED,Materials,2021-12-13,12214921,689290648,2.2727272727272747,False
AL3,AML3D LIMITED,Capital Goods,2020-04-20,17459487,581348909,-5.194805194805199,False
AMP,AMP LIMITED,Financial Services,1998-06-15,3163841847,44817,1.9230769230769247,False
ATX,AMPLIA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2013-12-23,16684476,70485942,4.878048780487809,False
ALD,AMPOL LIMITED,Energy,1980-12-31,7118083697,83276,3.1932773109243673,False
AN1,ANAGENICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2005-12-09,9506116,2754755,8.333333333333341,False
ALT,ANALYTICA LIMITED,Health Care Equipment & Services,2000-10-25,SUSPENDED,43672,0.0,False
ANR,ANATARA LIFESCIENCES LTD,"Pharmaceuticals, Biotechnology & Life Sciences",2014-10-16,3597720,79446348,0.0,False
ANX,ANAX METALS LIMITED,Materials,2004-06-15,24563690,48035,11.666666666666677,False
ADN,ANDROMEDA METALS LIMITED,Materials,1996-09-17,139962192,38786,9.090909090909099,False
ATM,ANEKA TAMBANG (PERSERO) TBK (PT),Materials,1999-08-09,OTHER,53857,0.0,False
AGG,ANGLOGOLD ASHANTI LIMITED,Materials,1999-11-16,12444658298,40532,5.136436597110745,False
AND,ANSARADA GROUP LIMITED,Software & Services,2020-02-14,92685652,575568487,0.9950248756219137,False
ANN,ANSELL LIMITED,Health Care Equipment & Services,1985-08-22,3418303204,45809,0.44893378226711933,False
ASN,ANSON RESOURCES LIMITED,Materials,2010-07-08,213299990,24223654,-7.500000000000006,False
ADO,ANTEOTECH LTD,"Pharmaceuticals, Biotechnology & Life Sciences",2000-04-07,77611643,260118,-2.5641025641025665,False
ADOND,ANTEOTECH LTD,"Pharmaceuticals, Biotechnology & Life Sciences",2000-04-07,77611643,790287685,0.0,False
AAU,ANTILLES GOLD LIMITED,Materials,1993-11-25,18030494,73798,-2.6315789473684235,False
AZY,ANTIPA MINERALS LIMITED,Materials,2011-04-20,68267777,31627545,1.927470528863119e-14,False
ANP,ANTISENSE THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2001-12-20,58230365,45878,5.8823529411764595,False
ANZ,ANZ GROUP HOLDINGS LIMITED,Banks,1969-09-30,67395550588,46090,-0.483516483516481,False
APA,APA GROUP,Utilities,2000-06-13,11846134234,46493,1.0030090270812402,False
AHX,APIAM ANIMAL HEALTH LIMITED,Health Care Equipment & Services,2015-12-15,99002995,320390670,0.0,False
APM,APM HUMAN SERVICES INTERNATIONAL LIMITED,Commercial & Professional Services,2021-11-12,1797676614,689448521,-5.633802816901393,False
AON,APOLLO MINERALS LIMITED,Materials,2007-10-31,22643065,8515120,1.6136962567226113e-14,False
APX,APPEN LIMITED,Software & Services,2015-01-07,336904655,82356054,4.2145593869731925,False
AFW,APPLYFLOW LIMITED,Media & Entertainment,2010-11-30,2366090,26701925,-16.666666666666664,False
AQN,AQUIRIAN LIMITED,Commercial & Professional Services,2021-07-27,22400000,664264258,0.0,False
AQS,AQUIS ENTERTAINMENT LIMITED,Consumer Services,2011-12-02,26845452,38312852,0.0,False
ARU,ARAFURA RARE EARTHS LTD,Materials,2003-11-05,982575608,48403,-2.9411764705882377,False
ARB,ARB CORPORATION LIMITED.,Automobiles & Components,1987-06-26,2514892431,48163,-3.4374999999999933,False
ARC,ARC FUNDS LIMITED,Financial Services,2000-04-14,6316034,80670972,4.99999999999999,False
AM7,ARCADIA MINERALS LIMITED,Materials,2021-06-25,16672520,653473090,-7.142857142857137,False
AXE,ARCHER MATERIALS LIMITED,Semiconductors & Semiconductor Equipment,2007-08-14,107055899,8933855,-5.434782608695657,False
AR9,ARCHTIS LIMITED,Software & Services,2018-09-21,26540774,490239282,2.1052631578947385,False
ARL,ARDEA RESOURCES LIMITED,Materials,2017-02-09,84036358,376094874,15.555555555555557,False
ALG,ARDENT LEISURE GROUP LIMITED,Consumer Services,2018-11-30,304613320,504280917,1.5625000000000013,False
ADV,ARDIDEN LTD,Materials,2005-10-25,18818347,47140343,0.0,False
ARF,ARENA REIT.,Equity Real Estate Investment Trusts (REITs),2013-06-13,1241264696,58695765,1.983002832861198,False
AGN,ARGENICA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2021-06-11,36941956,658057613,0.0,False
ARD,ARGENT MINERALS LIMITED,Materials,2008-04-03,12941293,10400881,-9.090909090909085,False
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,Not Applic,2015-07-03,407281827,276510529,-0.8658008658008666,False
ARG,ARGO INVESTMENTS LIMITED,Not Applic,1963-03-31,6701853718,47787,-1.4525139664804358,False
ARE,ARGONAUT RESOURCES NL,Materials,1986-01-23,12723743,47727,33.333333333333336,False
AGY,ARGOSY MINERALS LIMITED,Materials,1997-04-03,561762999,41019,-3.124999999999991,False
ARA,ARIADNE AUSTRALIA LIMITED,Commercial & Professional Services,1982-10-12,117716194,47512,-3.278688524590167,False
ALL,ARISTOCRAT LEISURE LIMITED,Consumer Services,1996-07-09,24020552023,43238,4.24018212862835,False
AZL,ARIZONA LITHIUM LIMITED,Materials,1971-07-08,112355213,296612,6.3829787234042605,False
AHK,ARK MINES LIMITED,Materials,2011-05-09,9369301,30050785,25.641025641025635,False
AMM,ARMADA METALS LIMITED,Materials,2021-12-15,4992000,690355347,-2.0833333333333353,False
AJQ,ARMOUR ENERGY LIMITED,Energy,2012-04-26,9327993,44476458,-9.999999999999993,False
ARX,AROA BIOSURGERY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2020-07-24,356833847,607132612,1.9230769230769247,False
ALA,AROVELLA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2002-01-24,24933070,98538,5.555555555555561,False
AMD,ARROW MINERALS LTD,Materials,2005-10-28,8724932,3145470,-12.5,False
ARV,ARTEMIS RESOURCES LIMITED,Materials,2007-03-16,23421276,6659074,-13.333333333333323,False
AYA,ARTRYA LIMITED,Health Care Equipment & Services,2021-11-26,21953118,686439244,1.9230769230769247,False
AAJ,ARUMA RESOURCES LIMITED,Materials,2010-07-23,8946806,640708618,9.090909090909086,False
AJY,ASAPLUS RESOURCES LIMITED,Materials,2012-11-16,2720000,52069305,0.0,False
AFA,ASF GROUP LIMITED,Financial Services,1985-05-29,33283384,82542,0.0,False
ASH,ASHLEY SERVICES GROUP LIMITED,Commercial & Professional Services,2014-08-21,102222892,77672033,1.597443200899506e-14,False
AJJ,ASIAN AMERICAN MEDICAL GROUP LIMITED,Health Care Equipment & Services,2007-03-19,SUSPENDED,5947356,0.0,False
AS2,ASKARI METALS LIMITED,Materials,2021-07-07,22292824,660718524,-12.0,False
APZ,ASPEN GROUP,Equity Real Estate Investment Trusts (REITs),1991-04-11,318472784,47249,-4.3126684636118515,False
ASP,ASPERMONT LIMITED.,Media & Entertainment,2000-04-27,43759569,49207,-5.263157894736828,False
AKM,ASPIRE MINING LIMITED,Materials,2007-02-06,28427671,6379051,0.0,False
ASR,ASRA MINERALS LIMITED,Materials,1986-06-30,16138305,58836417,0.0,False
AO1,ASSETOWL LIMITED,Software & Services,2011-05-30,1812130,36473684,0.0,False
APL,ASSOCIATE GLOBAL PARTNERS LIMITED,Financial Services,2004-09-30,13557849,236661,0.0,False
ASO,ASTON MINERALS LIMITED,Materials,2011-03-04,116920748,28321076,4.761904761904766,False
AAR,ASTRAL RESOURCES NL,Materials,1986-11-13,48574928,36295,3.3333333333333366,False
ARO,ASTRO RESOURCES NL,Materials,1986-08-14,17517536,48131,-8.450704225352101,False
ATR,ASTRON CORPORATION LIMITED,Materials,1983-11-11,82818965,54004,-3.225806451612906,False
ASX,ASX LIMITED,Financial Services,1998-10-14,12694034772,49480,-2.031842304776351,False
AHN,ATHENA RESOURCES LIMITED,Materials,2006-11-22,5352338,5750168,-9.999999999999993,False
A11,ATLANTIC LITHIUM LIMITED,Materials,2022-09-26,278641164,752624718,-1.0526315789473577,False
ALX,ATLAS ARTERIA,Transportation,2010-01-25,9372385747,22399201,-4.8338368580060465,False
ATP,ATLAS PEARLS LTD,Consumer Durables & Apparel,1993-12-31,12836153,53974,3.4482758620689564,False
AT1,ATOMO DIAGNOSTICS LIMITED,Health Care Equipment & Services,2020-04-16,23977422,583331349,-10.63829787234042,False
AMS,ATOMOS LIMITED,Consumer Durables & Apparel,2018-12-28,SUSPENDED,508616813,0.0,False
ATU,ATRUM COAL LIMITED,Materials,2012-07-24,SUSPENDED,46467469,0.0,False
ATA,ATTURRA LIMITED,Software & Services,2021-12-22,195089285,691851626,4.2944785276073665,False
AUB,AUB GROUP LIMITED,Insurance,2005-11-16,2539278255,3582563,0.2815768302493978,False
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation,1999-02-22,12207448926,41465,0.24360535931789978,False
AKL,AUCKLAND REAL ESTATE TRUST,Equity Real Estate Investment Trusts (REITs),2005-09-23,82350704,3160801,0.0,False
AVC,AUCTUS INVESTMENT GROUP LIMITED,Financial Services,2011-08-27,71231587,35760375,3.333333333333336,False
ACP,AUDALIA RESOURCES LIMITED,Materials,2011-07-06,7613498,35655549,0.0,False
AUA,AUDEARA LIMITED,Consumer Durables & Apparel,2021-05-18,10747500,653430653,0.0,False
AD8,AUDINATE GROUP LIMITED,Technology Hardware & Equipment,2017-06-30,686224002,415778133,-0.9009009009009016,False
AKP,AUDIO PIXELS HOLDINGS LIMITED,Consumer Durables & Apparel,2004-12-24,246008965,141091,1.0321100917431176,False
AKN,AUKING MINING LIMITED,Materials,2007-10-29,12042119,8802066,1.176083712526649e-14,False
AUK,AUMAKE LIMITED.,Consumer Discretionary Distribution & Retail,2011-12-07,5258901,39706329,0.0,False
AEE,AURA ENERGY LIMITED,Energy,2006-05-30,167639260,651782993,16.363636363636356,False
AMI,AURELIA METALS LIMITED,Materials,2007-05-08,129930908,7308393,0.0,False
AWJ,AURIC MINING LIMITED,Materials,2021-02-12,5823252,631372012,-3.260869565217379,False
AUR,AURIS MINERALS LIMITED,Materials,2001-03-15,6672763,210440,21.428571428571434,False
AZJ,AURIZON HOLDINGS LIMITED,Transportation,2010-11-22,6295207618,26900786,1.4880952380952461,False
1AE,AURORA ENERGY METALS LIMITED,Materials,2022-05-18,12834989,718659927,-11.458333333333329,False
AIB,AURORA GLOBAL INCOME TRUST,Not Applic,2007-12-24,SUSPENDED,9114664,0.0,False
A3D,AURORA LABS LIMITED,Capital Goods,2016-08-16,6391010,359322891,-3.5714285714285747,False
AUE,AURUM RESOURCES LIMITED,Materials,2021-11-02,3750000,677893003,0.0,False
AUN,AURUMIN LIMITED,Materials,2020-12-09,5932746,624271286,-6.250000000000005,False
AC8,AUSCANN GROUP HOLDINGS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",1989-05-03,SUSPENDED,35330405,0.0,False
AUC,AUSGOLD LIMITED,Materials,2009-12-16,101473727,21723893,0.0,False
AOA,AUSMON RESOURCES LIMITED,Materials,2009-03-31,5167947,17924579,25.0,False
AQD,AUSQUEST LIMITED,Materials,2003-11-25,14027537,47369,6.250000000000005,False
ABB,AUSSIE BROADBAND LIMITED,Telecommunication Services,2020-10-16,746323078,619934150,-0.6211180124223608,False
ASB,AUSTAL LIMITED,Capital Goods,1998-12-08,625212234,48693,-1.7191977077363911,False
AUH,AUSTCHINA HOLDINGS LIMITED,Energy,2003-03-17,10389418,35544754,20.0,False
AHC,AUSTCO HEALTHCARE LIMITED,Health Care Equipment & Services,2004-09-24,36227168,272772,0.0,False
ANG,AUSTIN ENGINEERING LIMITED,Capital Goods,2004-03-09,221669042,45603,1.3513513513513526,False
AYT,AUSTIN METALS LIMITED,Materials,2011-07-06,4063499,35504349,0.0,False
APG,AUSTPAC RESOURCES NL,Materials,1986-07-24,SUSPENDED,46706,0.0,False
AGD,AUSTRAL GOLD LIMITED,Materials,1997-04-18,26941700,92553,0.0,False
AR1,AUSTRAL RESOURCES AUSTRALIA LTD,Materials,2021-11-03,102797336,680464676,10.810810810810821,False
A8G,AUSTRALASIAN METALS LIMITED,Materials,2021-05-13,8860484,649953818,10.344827586206906,False
AYM,AUSTRALIA UNITED MINING LIMITED,Materials,2011-09-19,5527732,34969081,0.0,False
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Food, Beverage & Tobacco",2001-08-10,973468296,35993,1.9736842105263175,False
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,"Food, Beverage & Tobacco",2004-01-07,4881592,233126,0.0,False
ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,Financial Services,2021-12-06,31011811,689403449,9.259259259259245,False
ACL,AUSTRALIAN CLINICAL LABS LIMITED,Health Care Equipment & Services,2021-05-14,714492413,656176731,-7.387862796833767,False
AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,"Food, Beverage & Tobacco",2006-06-30,15545102,4950136,-15.151515151515154,False
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Financial Services,2002-12-17,318045387,508120065,-1.0344827586206828,False
AFG,AUSTRALIAN FINANCE GROUP LTD,Financial Services,2015-05-22,378361637,88582259,4.379562043795608,False
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Not Applic,1962-06-30,8930510028,40074,-0.5524861878453043,False
AGC,AUSTRALIAN GOLD AND COPPER LTD,Materials,2021-01-20,5500000,631723466,5.7692307692307745,False
AUZ,AUSTRALIAN MINES LIMITED,Materials,2001-09-28,16056669,54697,-9.677419354838708,False
AQC,AUSTRALIAN PACIFIC COAL LIMITED,Materials,1999-12-17,31952608,272937,4.3478260869565135,False
APC,AUSTRALIAN POTASH LIMITED,Materials,2011-12-20,17657523,36368870,-5.263157894736828,False
AR3,AUSTRALIAN RARE EARTHS LIMITED,Materials,2021-07-01,28489608,661375852,4.3478260869565135,False
ASQ,AUSTRALIAN SILICA QUARTZ GROUP LTD,Materials,2007-10-22,11266415,8515119,-2.5641025641025665,False
ASM,AUSTRALIAN STRATEGIC MATERIALS LIMITED,Materials,2020-07-30,208381534,607150919,-0.39525691699603904,False
AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,Not Applic,1974-01-01,1193780823,54480,-0.8421052631578955,False
AOF,AUSTRALIAN UNITY OFFICE FUND,Equity Real Estate Investment Trusts (REITs),2016-06-20,253150493,352106310,-5.015673981191213,False
AVL,AUSTRALIAN VANADIUM LIMITED,Materials,2007-02-21,165817758,6379050,25.806451612903228,False
AVG,AUSTRALIAN VINTAGE LTD,"Food, Beverage & Tobacco",1992-03-26,133898398,200432,-2.293577981651388,False
ATS,AUSTRALIS OIL & GAS LIMITED,Energy,2016-07-25,52970243,357032700,8.108108108108116,False
ABA,AUSWIDE BANK LTD,Banks,1994-09-19,252395258,283903,-0.7067137809187285,False
AUT,AUTECO MINERALS LTD,Materials,2005-09-21,94826288,3145467,-11.627906976744182,False
ASG,AUTOSPORTS GROUP LIMITED.,Consumer Discretionary Distribution & Retail,2016-11-16,436170000,371017435,0.46082949308756826,False
AVA,AVA RISK GROUP LIMITED,Technology Hardware & Equipment,2015-05-11,52360000,88049239,4.99999999999999,False
AVD,AVADA GROUP LIMITED,Commercial & Professional Services,2021-12-17,37366863,689630175,0.0,False
AVE,AVECHO BIOTECHNOLOGY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",1993-08-09,16540824,232083,-11.111111111111104,False
AEV,AVENIRA LIMITED,Materials,2006-10-10,17433781,5366753,-7.142857142857137,False
